file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,AUFBV,1158
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,AUFBV,795
3,C++AMP/BinomialOptions/kernel.cu,success,AUFBV,1155
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,AUFBV,966
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,AUFBV,943
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,AUFBV,753
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,AUFBV,939
8,C++AMP/DxInterOp/kernel.cu,success,AUFBV,914
9,C++AMP/HelloWorldCSharp/kernel.cu,success,AUFBV,1298
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,AUFBV,967
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,AUFBV,899
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,AUFBV,938
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,AUFBV,940
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,AUFBV,899
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,AUFBV,899
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,AUFBV,1335
17,C++AMP/OceanCS/kernel.cu,success,AUFBV,923
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,AUFBV,2209
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,AUFBV,1921
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,AUFBV,986
21,CUDA20/bitonicsort/kernel.cu,success,AUFBV,923
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,AUFBV,882
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,AUFBV,921
24,CUDA20/scan/best/kernel.cu,success,AUFBV,953
25,CUDA20/scanlarge/inline/kernel.cu,failed,AUFBV,1998
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,AUFBV,964
27,CUDA20/scan/naive/kernel.cu,success,AUFBV,957
28,CUDA20/scan/workefficient/kernel.cu,success,AUFBV,989
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,AUFBV,904
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,AUFBV,831
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,AUFBV,846
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,AUFBV,834
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,success,AUFBV,948
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,AUFBV,861
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,success,AUFBV,867
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,AUFBV,865
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,success,AUFBV,916
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,success,AUFBV,937
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,success,AUFBV,875
40,CUDA50/0_Simple/simpleMultiCopy/simpleMultiCopy.cu,success,AUFBV,910
41,CUDA50/0_Simple/simpleMultiGPU/simpleMultiGPU.cu,success,AUFBV,915
42,CUDA50/0_Simple/simpleP2P/simpleP2P.cu,success,AUFBV,896
43,CUDA50/0_Simple/simplePitchLinearTexture/shiftArray.cu,success,AUFBV,828
44,CUDA50/0_Simple/simplePitchLinearTexture/shiftPitchLinear.cu,success,AUFBV,871
45,CUDA50/0_Simple/simpleSeparateCompilation/simpleSeparateCompilation.cu,success,AUFBV,924
46,CUDA50/0_Simple/simpleStreams/simpleStreams.cu,success,AUFBV,901
47,CUDA50/0_Simple/simpleTexture/simpleTexture.cu,success,AUFBV,825
48,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAllKernel2.cu,success,AUFBV,837
49,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel1.cu,success,AUFBV,871
50,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel3.cu,success,AUFBV,831
51,CUDA50/0_Simple/simpleZeroCopy/simpleZeroCopy.cu,success,AUFBV,858
52,CUDA50/0_Simple/template_runtime/template_runtime.cu,success,AUFBV,851
53,CUDA50/0_Simple/template/template.cu,success,AUFBV,874
54,CUDA50/0_Simple/vectorAdd/vectorAdd.cu,success,AUFBV,866
55,CUDA50/2_Graphics/bindlessTexture/bindlessTexture.cu,success,AUFBV,858
56,CUDA50/2_Graphics/marchingCubes/classifyVoxel.cu,success,AUFBV,975
57,CUDA50/2_Graphics/simpleGL/simpleGL.cu,success,AUFBV,932
58,CUDA50/2_Graphics/simpleTexture3D/simpleTexture3D_kernel.cu,success,AUFBV,755
59,CUDA50/2_Graphics/volumeFiltering/d_render_preint.cu,success,AUFBV,954
60,CUDA50/2_Graphics/volumeFiltering/d_render_preint_off.cu,success,AUFBV,905
61,CUDA50/2_Graphics/volumeFiltering/d_render_regular.cu,success,AUFBV,862
62,CUDA50/2_Graphics/volumeRender/volumeRender.cu,success,AUFBV,859
63,CUDA50/3_Imaging/bicubicTexture/d_renderBicubic.cu,success,AUFBV,979
64,CUDA50/3_Imaging/bicubicTexture/d_renderCatRom.cu,success,AUFBV,971
65,CUDA50/3_Imaging/bicubicTexture/d_render.cu,success,AUFBV,953
