file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,AUFLIRA,851
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,AUFLIRA,946
3,C++AMP/BinomialOptions/kernel.cu,success,AUFLIRA,1051
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,AUFLIRA,905
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,AUFLIRA,908
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,AUFLIRA,1076
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,AUFLIRA,1057
8,C++AMP/DxInterOp/kernel.cu,success,AUFLIRA,1070
9,C++AMP/HelloWorldCSharp/kernel.cu,success,AUFLIRA,1039
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,AUFLIRA,864
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,AUFLIRA,916
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,AUFLIRA,939
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,AUFLIRA,945
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,AUFLIRA,866
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,AUFLIRA,934
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,AUFLIRA,928
17,C++AMP/OceanCS/kernel.cu,success,AUFLIRA,794
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,AUFLIRA,1700
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,AUFLIRA,1833
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,AUFLIRA,915
21,CUDA20/bitonicsort/kernel.cu,success,AUFLIRA,1017
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,AUFLIRA,1272
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,AUFLIRA,1291
24,CUDA20/scan/best/kernel.cu,success,AUFLIRA,1175
25,CUDA20/scanlarge/inline/kernel.cu,failed,AUFLIRA,1960
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,AUFLIRA,921
27,CUDA20/scan/naive/kernel.cu,success,AUFLIRA,995
28,CUDA20/scan/workefficient/kernel.cu,success,AUFLIRA,909
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,AUFLIRA,1036
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,AUFLIRA,928
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,AUFLIRA,966
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,AUFLIRA,962
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,success,AUFLIRA,1087
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,AUFLIRA,1001
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,success,AUFLIRA,922
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,AUFLIRA,804
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,success,AUFLIRA,864
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,success,AUFLIRA,907
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,success,AUFLIRA,834
40,CUDA50/0_Simple/simpleMultiCopy/simpleMultiCopy.cu,success,AUFLIRA,916
41,CUDA50/0_Simple/simpleMultiGPU/simpleMultiGPU.cu,success,AUFLIRA,816
