file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,QF_NIA,1355
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,QF_NIA,2530
3,C++AMP/BinomialOptions/kernel.cu,success,QF_NIA,1038
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,QF_NIA,894
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,QF_NIA,1122
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,QF_NIA,835
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,QF_NIA,852
8,C++AMP/DxInterOp/kernel.cu,success,QF_NIA,902
9,C++AMP/HelloWorldCSharp/kernel.cu,success,QF_NIA,857
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,QF_NIA,889
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,QF_NIA,8229
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,QF_NIA,1129
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,QF_NIA,893
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,QF_NIA,913
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,QF_NIA,848
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,QF_NIA,934
17,C++AMP/OceanCS/kernel.cu,success,QF_NIA,890
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,QF_NIA,2389
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,QF_NIA,2925
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,QF_NIA,1040
21,CUDA20/bitonicsort/kernel.cu,success,QF_NIA,1029
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,QF_NIA,1102
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,QF_NIA,1124
24,CUDA20/scan/best/kernel.cu,success,QF_NIA,964
25,CUDA20/scanlarge/inline/kernel.cu,failed,QF_NIA,1922
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,QF_NIA,821
27,CUDA20/scan/naive/kernel.cu,success,QF_NIA,962
28,CUDA20/scan/workefficient/kernel.cu,success,QF_NIA,912
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,QF_NIA,931
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_NIA,920
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,QF_NIA,907
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,QF_NIA,766
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,success,QF_NIA,1705
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,QF_NIA,929
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,success,QF_NIA,885
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,QF_NIA,1011
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,success,QF_NIA,909
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,success,QF_NIA,956
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,success,QF_NIA,846
40,CUDA50/0_Simple/simpleMultiCopy/simpleMultiCopy.cu,success,QF_NIA,884
41,CUDA50/0_Simple/simpleMultiGPU/simpleMultiGPU.cu,success,QF_NIA,912
42,CUDA50/0_Simple/simpleP2P/simpleP2P.cu,success,QF_NIA,765
43,CUDA50/0_Simple/simplePitchLinearTexture/shiftArray.cu,success,QF_NIA,1662
44,CUDA50/0_Simple/simplePitchLinearTexture/shiftPitchLinear.cu,success,QF_NIA,1640
45,CUDA50/0_Simple/simpleSeparateCompilation/simpleSeparateCompilation.cu,success,QF_NIA,793
46,CUDA50/0_Simple/simpleStreams/simpleStreams.cu,success,QF_NIA,827
47,CUDA50/0_Simple/simpleTexture/simpleTexture.cu,success,QF_NIA,942
48,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAllKernel2.cu,success,QF_NIA,899
49,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel1.cu,success,QF_NIA,933
50,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel3.cu,success,QF_NIA,902
51,CUDA50/0_Simple/simpleZeroCopy/simpleZeroCopy.cu,success,QF_NIA,886
52,CUDA50/0_Simple/template_runtime/template_runtime.cu,success,QF_NIA,1167
53,CUDA50/0_Simple/template/template.cu,success,QF_NIA,898
