file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,QF_UFLIA,807
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,QF_UFLIA,909
3,C++AMP/BinomialOptions/kernel.cu,success,QF_UFLIA,1157
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,QF_UFLIA,1022
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,QF_UFLIA,889
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,QF_UFLIA,909
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,QF_UFLIA,799
8,C++AMP/DxInterOp/kernel.cu,success,QF_UFLIA,838
9,C++AMP/HelloWorldCSharp/kernel.cu,success,QF_UFLIA,856
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,QF_UFLIA,926
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,QF_UFLIA,788
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,QF_UFLIA,894
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,QF_UFLIA,881
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,QF_UFLIA,851
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,QF_UFLIA,791
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,QF_UFLIA,797
17,C++AMP/OceanCS/kernel.cu,success,QF_UFLIA,896
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,QF_UFLIA,1809
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,QF_UFLIA,1842
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,QF_UFLIA,918
21,CUDA20/bitonicsort/kernel.cu,success,QF_UFLIA,957
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,QF_UFLIA,910
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,QF_UFLIA,886
24,CUDA20/scan/best/kernel.cu,success,QF_UFLIA,854
25,CUDA20/scanlarge/inline/kernel.cu,failed,QF_UFLIA,1946
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,QF_UFLIA,910
27,CUDA20/scan/naive/kernel.cu,success,QF_UFLIA,891
28,CUDA20/scan/workefficient/kernel.cu,success,QF_UFLIA,936
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,QF_UFLIA,898
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_UFLIA,913
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,QF_UFLIA,807
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,QF_UFLIA,902
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,success,QF_UFLIA,912
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,QF_UFLIA,790
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,success,QF_UFLIA,927
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,QF_UFLIA,900
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,success,QF_UFLIA,904
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,success,QF_UFLIA,870
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,success,QF_UFLIA,866
40,CUDA50/0_Simple/simpleMultiCopy/simpleMultiCopy.cu,success,QF_UFLIA,865
41,CUDA50/0_Simple/simpleMultiGPU/simpleMultiGPU.cu,success,QF_UFLIA,913
42,CUDA50/0_Simple/simpleP2P/simpleP2P.cu,success,QF_UFLIA,917
43,CUDA50/0_Simple/simplePitchLinearTexture/shiftArray.cu,success,QF_UFLIA,860
44,CUDA50/0_Simple/simplePitchLinearTexture/shiftPitchLinear.cu,success,QF_UFLIA,880
45,CUDA50/0_Simple/simpleSeparateCompilation/simpleSeparateCompilation.cu,success,QF_UFLIA,889
46,CUDA50/0_Simple/simpleStreams/simpleStreams.cu,success,QF_UFLIA,935
47,CUDA50/0_Simple/simpleTexture/simpleTexture.cu,success,QF_UFLIA,968
48,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAllKernel2.cu,success,QF_UFLIA,872
49,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel1.cu,success,QF_UFLIA,940
