file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,QF_UFLRA,828
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,QF_UFLRA,854
3,C++AMP/BinomialOptions/kernel.cu,success,QF_UFLRA,1191
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,QF_UFLRA,851
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,QF_UFLRA,879
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,QF_UFLRA,949
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,QF_UFLRA,869
8,C++AMP/DxInterOp/kernel.cu,success,QF_UFLRA,901
9,C++AMP/HelloWorldCSharp/kernel.cu,success,QF_UFLRA,818
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,QF_UFLRA,885
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,QF_UFLRA,911
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,QF_UFLRA,849
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,QF_UFLRA,871
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,QF_UFLRA,846
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,QF_UFLRA,891
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,QF_UFLRA,955
17,C++AMP/OceanCS/kernel.cu,success,QF_UFLRA,855
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,QF_UFLRA,1810
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,QF_UFLRA,1871
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,QF_UFLRA,1051
21,CUDA20/bitonicsort/kernel.cu,success,QF_UFLRA,932
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,QF_UFLRA,905
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,QF_UFLRA,918
24,CUDA20/scan/best/kernel.cu,success,QF_UFLRA,943
25,CUDA20/scanlarge/inline/kernel.cu,failed,QF_UFLRA,1861
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,QF_UFLRA,1024
27,CUDA20/scan/naive/kernel.cu,success,QF_UFLRA,947
28,CUDA20/scan/workefficient/kernel.cu,success,QF_UFLRA,976
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,QF_UFLRA,847
