file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,QF_UFNRA,789
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,QF_UFNRA,884
3,C++AMP/BinomialOptions/kernel.cu,success,QF_UFNRA,1091
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,QF_UFNRA,921
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,QF_UFNRA,783
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,QF_UFNRA,921
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,QF_UFNRA,874
8,C++AMP/DxInterOp/kernel.cu,success,QF_UFNRA,906
9,C++AMP/HelloWorldCSharp/kernel.cu,success,QF_UFNRA,877
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,QF_UFNRA,890
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,QF_UFNRA,776
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,QF_UFNRA,884
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,QF_UFNRA,844
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,QF_UFNRA,905
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,QF_UFNRA,851
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,QF_UFNRA,778
17,C++AMP/OceanCS/kernel.cu,success,QF_UFNRA,797
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,QF_UFNRA,1782
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,QF_UFNRA,1822
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,QF_UFNRA,905
21,CUDA20/bitonicsort/kernel.cu,success,QF_UFNRA,944
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,QF_UFNRA,836
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,QF_UFNRA,880
24,CUDA20/scan/best/kernel.cu,success,QF_UFNRA,905
25,CUDA20/scanlarge/inline/kernel.cu,failed,QF_UFNRA,1805
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,QF_UFNRA,803
27,CUDA20/scan/naive/kernel.cu,success,QF_UFNRA,940
28,CUDA20/scan/workefficient/kernel.cu,success,QF_UFNRA,889
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,QF_UFNRA,764
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_UFNRA,803
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,QF_UFNRA,791
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,QF_UFNRA,840
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,success,QF_UFNRA,907
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,QF_UFNRA,910
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,success,QF_UFNRA,841
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,QF_UFNRA,937
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,success,QF_UFNRA,864
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,success,QF_UFNRA,791
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,success,QF_UFNRA,948
40,CUDA50/0_Simple/simpleMultiCopy/simpleMultiCopy.cu,success,QF_UFNRA,912
41,CUDA50/0_Simple/simpleMultiGPU/simpleMultiGPU.cu,success,QF_UFNRA,923
42,CUDA50/0_Simple/simpleP2P/simpleP2P.cu,success,QF_UFNRA,852
43,CUDA50/0_Simple/simplePitchLinearTexture/shiftArray.cu,success,QF_UFNRA,906
44,CUDA50/0_Simple/simplePitchLinearTexture/shiftPitchLinear.cu,success,QF_UFNRA,913
45,CUDA50/0_Simple/simpleSeparateCompilation/simpleSeparateCompilation.cu,success,QF_UFNRA,884
46,CUDA50/0_Simple/simpleStreams/simpleStreams.cu,success,QF_UFNRA,746
47,CUDA50/0_Simple/simpleTexture/simpleTexture.cu,success,QF_UFNRA,951
48,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAllKernel2.cu,success,QF_UFNRA,855
49,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel1.cu,success,QF_UFNRA,774
50,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel3.cu,success,QF_UFNRA,886
51,CUDA50/0_Simple/simpleZeroCopy/simpleZeroCopy.cu,success,QF_UFNRA,898
52,CUDA50/0_Simple/template_runtime/template_runtime.cu,success,QF_UFNRA,822
53,CUDA50/0_Simple/template/template.cu,success,QF_UFNRA,820
54,CUDA50/0_Simple/vectorAdd/vectorAdd.cu,success,QF_UFNRA,913
55,CUDA50/2_Graphics/bindlessTexture/bindlessTexture.cu,success,QF_UFNRA,933
56,CUDA50/2_Graphics/marchingCubes/classifyVoxel.cu,success,QF_UFNRA,902
57,CUDA50/2_Graphics/simpleGL/simpleGL.cu,success,QF_UFNRA,910
58,CUDA50/2_Graphics/simpleTexture3D/simpleTexture3D_kernel.cu,success,QF_UFNRA,974
59,CUDA50/2_Graphics/volumeFiltering/d_render_preint.cu,success,QF_UFNRA,906
60,CUDA50/2_Graphics/volumeFiltering/d_render_preint_off.cu,success,QF_UFNRA,866
