file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,UFLRA,844
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,UFLRA,791
3,C++AMP/BinomialOptions/kernel.cu,success,UFLRA,957
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,UFLRA,899
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,UFLRA,726
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,UFLRA,870
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,UFLRA,910
8,C++AMP/DxInterOp/kernel.cu,success,UFLRA,852
9,C++AMP/HelloWorldCSharp/kernel.cu,success,UFLRA,860
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,UFLRA,917
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,UFLRA,872
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,UFLRA,883
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,UFLRA,893
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,UFLRA,832
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,UFLRA,870
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,UFLRA,922
17,C++AMP/OceanCS/kernel.cu,success,UFLRA,988
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,UFLRA,1860
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,UFLRA,1774
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,UFLRA,863
21,CUDA20/bitonicsort/kernel.cu,success,UFLRA,1038
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,UFLRA,807
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,UFLRA,867
24,CUDA20/scan/best/kernel.cu,success,UFLRA,876
25,CUDA20/scanlarge/inline/kernel.cu,failed,UFLRA,1935
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,UFLRA,773
27,CUDA20/scan/naive/kernel.cu,success,UFLRA,931
28,CUDA20/scan/workefficient/kernel.cu,success,UFLRA,869
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,UFLRA,896
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,UFLRA,869
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,UFLRA,923
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,UFLRA,902
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,success,UFLRA,797
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,UFLRA,822
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,success,UFLRA,739
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,UFLRA,931
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,success,UFLRA,817
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,success,UFLRA,833
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,success,UFLRA,893
40,CUDA50/0_Simple/simpleMultiCopy/simpleMultiCopy.cu,success,UFLRA,832
41,CUDA50/0_Simple/simpleMultiGPU/simpleMultiGPU.cu,success,UFLRA,831
42,CUDA50/0_Simple/simpleP2P/simpleP2P.cu,success,UFLRA,898
43,CUDA50/0_Simple/simplePitchLinearTexture/shiftArray.cu,success,UFLRA,823
44,CUDA50/0_Simple/simplePitchLinearTexture/shiftPitchLinear.cu,success,UFLRA,767
45,CUDA50/0_Simple/simpleSeparateCompilation/simpleSeparateCompilation.cu,success,UFLRA,875
46,CUDA50/0_Simple/simpleStreams/simpleStreams.cu,success,UFLRA,758
47,CUDA50/0_Simple/simpleTexture/simpleTexture.cu,success,UFLRA,927
48,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAllKernel2.cu,success,UFLRA,833
49,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel1.cu,success,UFLRA,814
50,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel3.cu,success,UFLRA,801
51,CUDA50/0_Simple/simpleZeroCopy/simpleZeroCopy.cu,success,UFLRA,843
