file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,AUFLIA,1094
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,AUFLIA,1014
3,C++AMP/BinomialOptions/kernel.cu,success,AUFLIA,1397
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,AUFLIA,1153
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,AUFLIA,1031
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,AUFLIA,985
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,AUFLIA,1033
8,C++AMP/DxInterOp/kernel.cu,success,AUFLIA,976
9,C++AMP/HelloWorldCSharp/kernel.cu,success,AUFLIA,1007
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,AUFLIA,1061
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,AUFLIA,1008
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,AUFLIA,1017
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,AUFLIA,943
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,AUFLIA,934
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,AUFLIA,983
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,AUFLIA,1075
17,C++AMP/OceanCS/kernel.cu,success,AUFLIA,971
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,AUFLIA,2026
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,AUFLIA,2101
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,AUFLIA,960
21,CUDA20/bitonicsort/kernel.cu,success,AUFLIA,992
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,AUFLIA,1053
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,AUFLIA,975
24,CUDA20/scan/best/kernel.cu,success,AUFLIA,1136
25,CUDA20/scanlarge/inline/kernel.cu,failed,AUFLIA,2127
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,AUFLIA,890
27,CUDA20/scan/naive/kernel.cu,success,AUFLIA,1070
28,CUDA20/scan/workefficient/kernel.cu,success,AUFLIA,1066
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,AUFLIA,1013
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,AUFLIA,930
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,AUFLIA,1021
