file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,AUFNIRA,1051
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,AUFNIRA,967
3,C++AMP/BinomialOptions/kernel.cu,success,AUFNIRA,1553
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,AUFNIRA,1031
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,AUFNIRA,969
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,AUFNIRA,989
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,AUFNIRA,1016
8,C++AMP/DxInterOp/kernel.cu,success,AUFNIRA,990
9,C++AMP/HelloWorldCSharp/kernel.cu,success,AUFNIRA,996
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,AUFNIRA,987
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,AUFNIRA,941
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,AUFNIRA,1077
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,AUFNIRA,1020
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,AUFNIRA,960
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,AUFNIRA,1086
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,AUFNIRA,972
17,C++AMP/OceanCS/kernel.cu,success,AUFNIRA,1049
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,AUFNIRA,2143
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,AUFNIRA,2092
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,AUFNIRA,1015
21,CUDA20/bitonicsort/kernel.cu,success,AUFNIRA,1191
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,AUFNIRA,959
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,AUFNIRA,1034
24,CUDA20/scan/best/kernel.cu,success,AUFNIRA,980
25,CUDA20/scanlarge/inline/kernel.cu,failed,AUFNIRA,2103
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,AUFNIRA,996
