file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,LRA,981
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,LRA,893
3,C++AMP/BinomialOptions/kernel.cu,success,LRA,1479
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,LRA,1017
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,LRA,975
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,LRA,934
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,LRA,857
8,C++AMP/DxInterOp/kernel.cu,success,LRA,985
9,C++AMP/HelloWorldCSharp/kernel.cu,success,LRA,989
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,LRA,989
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,LRA,943
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,LRA,1015
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,LRA,953
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,LRA,979
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,LRA,1018
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,LRA,1071
17,C++AMP/OceanCS/kernel.cu,success,LRA,977
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,LRA,2087
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,LRA,2056
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,LRA,1148
21,CUDA20/bitonicsort/kernel.cu,success,LRA,1076
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,LRA,1029
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,LRA,922
24,CUDA20/scan/best/kernel.cu,success,LRA,985
25,CUDA20/scanlarge/inline/kernel.cu,failed,LRA,2120
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,LRA,993
27,CUDA20/scan/naive/kernel.cu,success,LRA,1074
28,CUDA20/scan/workefficient/kernel.cu,success,LRA,948
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,LRA,935
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,LRA,1015
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,LRA,899
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,LRA,959
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,success,LRA,1067
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,LRA,944
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,success,LRA,949
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,LRA,1023
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,success,LRA,889
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,success,LRA,1011
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,success,LRA,956
40,CUDA50/0_Simple/simpleMultiCopy/simpleMultiCopy.cu,success,LRA,1013
41,CUDA50/0_Simple/simpleMultiGPU/simpleMultiGPU.cu,success,LRA,876
42,CUDA50/0_Simple/simpleP2P/simpleP2P.cu,success,LRA,971
43,CUDA50/0_Simple/simplePitchLinearTexture/shiftArray.cu,success,LRA,1026
44,CUDA50/0_Simple/simplePitchLinearTexture/shiftPitchLinear.cu,success,LRA,1005
45,CUDA50/0_Simple/simpleSeparateCompilation/simpleSeparateCompilation.cu,success,LRA,922
46,CUDA50/0_Simple/simpleStreams/simpleStreams.cu,success,LRA,962
47,CUDA50/0_Simple/simpleTexture/simpleTexture.cu,success,LRA,990
48,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAllKernel2.cu,success,LRA,975
49,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel1.cu,success,LRA,929
50,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel3.cu,success,LRA,978
51,CUDA50/0_Simple/simpleZeroCopy/simpleZeroCopy.cu,success,LRA,924
52,CUDA50/0_Simple/template_runtime/template_runtime.cu,success,LRA,989
53,CUDA50/0_Simple/template/template.cu,success,LRA,1106
54,CUDA50/0_Simple/vectorAdd/vectorAdd.cu,success,LRA,1012
55,CUDA50/2_Graphics/bindlessTexture/bindlessTexture.cu,success,LRA,1043
56,CUDA50/2_Graphics/marchingCubes/classifyVoxel.cu,success,LRA,1082
57,CUDA50/2_Graphics/simpleGL/simpleGL.cu,success,LRA,938
58,CUDA50/2_Graphics/simpleTexture3D/simpleTexture3D_kernel.cu,success,LRA,999
59,CUDA50/2_Graphics/volumeFiltering/d_render_preint.cu,success,LRA,1082
60,CUDA50/2_Graphics/volumeFiltering/d_render_preint_off.cu,success,LRA,993
61,CUDA50/2_Graphics/volumeFiltering/d_render_regular.cu,success,LRA,1027
62,CUDA50/2_Graphics/volumeRender/volumeRender.cu,success,LRA,989
63,CUDA50/3_Imaging/bicubicTexture/d_renderBicubic.cu,success,LRA,1050
64,CUDA50/3_Imaging/bicubicTexture/d_renderCatRom.cu,success,LRA,1077
65,CUDA50/3_Imaging/bicubicTexture/d_render.cu,success,LRA,1075
66,CUDA50/3_Imaging/bicubicTexture/d_renderFastBicubic.cu,success,LRA,1045
67,CUDA50/3_Imaging/bilateralFilter/bilateralFilter.cu,success,LRA,1007
68,CUDA50/3_Imaging/boxFilter/d_boxfilter_rgba_x.cu,success,LRA,987
69,CUDA50/3_Imaging/boxFilter/d_boxfilter_rgba_y.cu,success,LRA,1157
70,CUDA50/3_Imaging/boxFilter/d_boxfilter_x_global.cu,success,LRA,1010
71,CUDA50/3_Imaging/boxFilter/d_boxfilter_x_tex.cu,success,LRA,1063
72,CUDA50/3_Imaging/boxFilter/d_boxfilter_y_global.cu,success,LRA,955
73,CUDA50/3_Imaging/boxFilter/d_boxfilter_y_tex.cu,success,LRA,1025
74,CUDA50/3_Imaging/convolutionFFT2D/modulateAndNormalize_kernel.cu,success,LRA,985
75,CUDA50/3_Imaging/convolutionFFT2D/padDataClampToBorder_kernel.cu,success,LRA,1063
76,CUDA50/3_Imaging/convolutionFFT2D/padKernel_kernel.cu,success,LRA,994
77,CUDA50/3_Imaging/convolutionFFT2D/spPostprocess2D_kernel.cu,failed,LRA,3659
78,CUDA50/3_Imaging/convolutionFFT2D/spPreprocess2D_kernel.cu,failed,LRA,2510
79,CUDA50/3_Imaging/convolutionFFT2D/spProcess2D_kernel.cu,failed,LRA,2232
80,CUDA50/3_Imaging/convolutionSeparable/convolutionColumnsKernel.cu,success,LRA,1230
81,CUDA50/3_Imaging/convolutionSeparable/convolutionRowsKernel.cu,success,LRA,1050
82,CUDA50/3_Imaging/convolutionTexture/convolutionColumnsKernel.cu,success,LRA,942
83,CUDA50/3_Imaging/convolutionTexture/convolutionRowsKernel.cu,success,LRA,923
84,CUDA50/3_Imaging/dct8x8/CUDAkernel1DCT.cu,success,LRA,1290
85,CUDA50/3_Imaging/dct8x8/CUDAkernel1IDCT.cu,success,LRA,1503
86,CUDA50/3_Imaging/dct8x8/CUDAkernel2DCT.cu,success,LRA,1120
87,CUDA50/3_Imaging/dct8x8/CUDAkernel2IDCT.cu,success,LRA,989
88,CUDA50/3_Imaging/dct8x8/CUDAkernelQuantizationFloat.cu,success,LRA,949
89,CUDA50/3_Imaging/dct8x8/CUDAkernelQuantizationShort.cu,success,LRA,1082
90,CUDA50/3_Imaging/dct8x8/CUDAkernelShortDCT.cu,success,LRA,1025
91,CUDA50/3_Imaging/dct8x8/CUDAkernelShortIDCT.cu,success,LRA,1079
92,CUDA50/3_Imaging/dwtHaar1D/dwtHaar1D.cu,success,LRA,1164
93,CUDA50/3_Imaging/dwtHaar1D/initValue.cu,success,LRA,1008
94,CUDA50/3_Imaging/histogram/histogram256.cu,success,LRA,971
95,CUDA50/3_Imaging/histogram/histogram64.cu,success,LRA,1011
96,CUDA50/3_Imaging/histogram/mergeHistogram256Kernel.cu,success,LRA,954
97,CUDA50/3_Imaging/histogram/mergeHistogram64Kernel.cu,success,LRA,1057
98,CUDA50/3_Imaging/HSOpticalFlow/addKernel.cu,success,LRA,891
99,CUDA50/3_Imaging/HSOpticalFlow/derivativesKernel.cu,success,LRA,1026
100,CUDA50/3_Imaging/HSOpticalFlow/downscaleKernel.cu,success,LRA,927
101,CUDA50/3_Imaging/HSOpticalFlow/solverKernel.cu,success,LRA,1125
102,CUDA50/3_Imaging/HSOpticalFlow/upscaleKernel.cu,success,LRA,1011
103,CUDA50/3_Imaging/HSOpticalFlow/warpingKernel.cu,success,LRA,1065
104,CUDA50/3_Imaging/imageDenoising/imageDenoising_copy_kernel.cu,success,LRA,1017
105,CUDA50/3_Imaging/imageDenoising/imageDenoising_knn_kernel.cu,success,LRA,1292
106,CUDA50/3_Imaging/imageDenoising/imageDenoising_nlm2_kernel.cu,success,LRA,1019
107,CUDA50/3_Imaging/imageDenoising/imageDenoising_nlm_kernel.cu,success,LRA,997
108,CUDA50/3_Imaging/postProcessGL/postProcessGL.cu,success,LRA,1065
109,CUDA50/3_Imaging/recursiveGaussian/d_recursiveGaussian_rgba.cu,success,LRA,994
110,CUDA50/3_Imaging/recursiveGaussian/d_simpleRecursive_rgba.cu,success,LRA,1037
111,CUDA50/3_Imaging/recursiveGaussian/d_transpose.cu,success,LRA,1010
112,CUDA50/3_Imaging/SobelFilter/SobelCopyImage.cu,success,LRA,973
113,CUDA50/3_Imaging/SobelFilter/SobelShared.cu,success,LRA,1369
