file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,QF_AUFLIA,977
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,QF_AUFLIA,979
3,C++AMP/BinomialOptions/kernel.cu,success,QF_AUFLIA,1375
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,QF_AUFLIA,1099
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,QF_AUFLIA,1013
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,QF_AUFLIA,981
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,QF_AUFLIA,1063
8,C++AMP/DxInterOp/kernel.cu,success,QF_AUFLIA,1025
9,C++AMP/HelloWorldCSharp/kernel.cu,success,QF_AUFLIA,874
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,QF_AUFLIA,1026
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,QF_AUFLIA,940
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,QF_AUFLIA,987
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,QF_AUFLIA,919
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,QF_AUFLIA,910
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,QF_AUFLIA,898
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,QF_AUFLIA,985
17,C++AMP/OceanCS/kernel.cu,success,QF_AUFLIA,1062
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,QF_AUFLIA,2112
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,QF_AUFLIA,1947
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,QF_AUFLIA,1061
21,CUDA20/bitonicsort/kernel.cu,success,QF_AUFLIA,1058
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,QF_AUFLIA,1056
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,QF_AUFLIA,978
24,CUDA20/scan/best/kernel.cu,success,QF_AUFLIA,985
25,CUDA20/scanlarge/inline/kernel.cu,failed,QF_AUFLIA,2079
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,QF_AUFLIA,1014
27,CUDA20/scan/naive/kernel.cu,success,QF_AUFLIA,1102
28,CUDA20/scan/workefficient/kernel.cu,success,QF_AUFLIA,1019
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,QF_AUFLIA,1023
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_AUFLIA,956
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,QF_AUFLIA,953
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,QF_AUFLIA,995
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,success,QF_AUFLIA,1032
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,QF_AUFLIA,985
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,success,QF_AUFLIA,963
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,QF_AUFLIA,1001
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,success,QF_AUFLIA,890
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,success,QF_AUFLIA,934
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,success,QF_AUFLIA,1003
40,CUDA50/0_Simple/simpleMultiCopy/simpleMultiCopy.cu,success,QF_AUFLIA,894
41,CUDA50/0_Simple/simpleMultiGPU/simpleMultiGPU.cu,success,QF_AUFLIA,936
42,CUDA50/0_Simple/simpleP2P/simpleP2P.cu,success,QF_AUFLIA,958
43,CUDA50/0_Simple/simplePitchLinearTexture/shiftArray.cu,success,QF_AUFLIA,899
44,CUDA50/0_Simple/simplePitchLinearTexture/shiftPitchLinear.cu,success,QF_AUFLIA,953
45,CUDA50/0_Simple/simpleSeparateCompilation/simpleSeparateCompilation.cu,success,QF_AUFLIA,1018
46,CUDA50/0_Simple/simpleStreams/simpleStreams.cu,success,QF_AUFLIA,979
47,CUDA50/0_Simple/simpleTexture/simpleTexture.cu,success,QF_AUFLIA,995
48,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAllKernel2.cu,success,QF_AUFLIA,993
49,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel1.cu,success,QF_AUFLIA,1000
50,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel3.cu,success,QF_AUFLIA,912
51,CUDA50/0_Simple/simpleZeroCopy/simpleZeroCopy.cu,success,QF_AUFLIA,910
52,CUDA50/0_Simple/template_runtime/template_runtime.cu,success,QF_AUFLIA,1008
53,CUDA50/0_Simple/template/template.cu,success,QF_AUFLIA,1014
54,CUDA50/0_Simple/vectorAdd/vectorAdd.cu,success,QF_AUFLIA,1003
55,CUDA50/2_Graphics/bindlessTexture/bindlessTexture.cu,success,QF_AUFLIA,978
56,CUDA50/2_Graphics/marchingCubes/classifyVoxel.cu,success,QF_AUFLIA,1039
57,CUDA50/2_Graphics/simpleGL/simpleGL.cu,success,QF_AUFLIA,915
58,CUDA50/2_Graphics/simpleTexture3D/simpleTexture3D_kernel.cu,success,QF_AUFLIA,998
59,CUDA50/2_Graphics/volumeFiltering/d_render_preint.cu,success,QF_AUFLIA,1062
60,CUDA50/2_Graphics/volumeFiltering/d_render_preint_off.cu,success,QF_AUFLIA,1173
61,CUDA50/2_Graphics/volumeFiltering/d_render_regular.cu,success,QF_AUFLIA,1167
62,CUDA50/2_Graphics/volumeRender/volumeRender.cu,success,QF_AUFLIA,1026
63,CUDA50/3_Imaging/bicubicTexture/d_renderBicubic.cu,success,QF_AUFLIA,1022
64,CUDA50/3_Imaging/bicubicTexture/d_renderCatRom.cu,success,QF_AUFLIA,1062
65,CUDA50/3_Imaging/bicubicTexture/d_render.cu,success,QF_AUFLIA,1026
66,CUDA50/3_Imaging/bicubicTexture/d_renderFastBicubic.cu,success,QF_AUFLIA,1469
67,CUDA50/3_Imaging/bilateralFilter/bilateralFilter.cu,success,QF_AUFLIA,1425
68,CUDA50/3_Imaging/boxFilter/d_boxfilter_rgba_x.cu,success,QF_AUFLIA,1082
69,CUDA50/3_Imaging/boxFilter/d_boxfilter_rgba_y.cu,success,QF_AUFLIA,2374
70,CUDA50/3_Imaging/boxFilter/d_boxfilter_x_global.cu,success,QF_AUFLIA,1043
71,CUDA50/3_Imaging/boxFilter/d_boxfilter_x_tex.cu,success,QF_AUFLIA,1034
72,CUDA50/3_Imaging/boxFilter/d_boxfilter_y_global.cu,success,QF_AUFLIA,1069
73,CUDA50/3_Imaging/boxFilter/d_boxfilter_y_tex.cu,success,QF_AUFLIA,950
74,CUDA50/3_Imaging/convolutionFFT2D/modulateAndNormalize_kernel.cu,success,QF_AUFLIA,1044
75,CUDA50/3_Imaging/convolutionFFT2D/padDataClampToBorder_kernel.cu,success,QF_AUFLIA,1200
76,CUDA50/3_Imaging/convolutionFFT2D/padKernel_kernel.cu,success,QF_AUFLIA,986
77,CUDA50/3_Imaging/convolutionFFT2D/spPostprocess2D_kernel.cu,failed,QF_AUFLIA,2229
78,CUDA50/3_Imaging/convolutionFFT2D/spPreprocess2D_kernel.cu,failed,QF_AUFLIA,2359
79,CUDA50/3_Imaging/convolutionFFT2D/spProcess2D_kernel.cu,failed,QF_AUFLIA,2221
