file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,failed,QF_AX,1993
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,QF_AX,1015
3,C++AMP/BinomialOptions/kernel.cu,failed,QF_AX,3293
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,failed,QF_AX,2313
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,QF_AX,960
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,QF_AX,950
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,QF_AX,988
8,C++AMP/DxInterOp/kernel.cu,timeout,QF_AX,1935
9,C++AMP/HelloWorldCSharp/kernel.cu,timeout,QF_AX,1986
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,timeout,QF_AX,1983
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,QF_AX,984
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,failed,QF_AX,2134
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,timeout,QF_AX,1984
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,failed,QF_AX,1979
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,QF_AX,958
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,failed,QF_AX,2074
17,C++AMP/OceanCS/kernel.cu,timeout,QF_AX,1950
18,C++AMP/TransitiveClosure/stage1/kernel.cu,timeout,QF_AX,2063
19,C++AMP/TransitiveClosure/stage2/kernel.cu,timeout,QF_AX,1892
20,C++AMP/TransitiveClosure/stage3/kernel.cu,timeout,QF_AX,2082
21,CUDA20/bitonicsort/kernel.cu,success,QF_AX,1171
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,QF_AX,945
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,timeout,QF_AX,2102
24,CUDA20/scan/best/kernel.cu,timeout,QF_AX,2009
25,CUDA20/scanlarge/inline/kernel.cu,timeout,QF_AX,2040
26,CUDA20/scanlarge/uniformAdd/kernel.cu,timeout,QF_AX,1953
27,CUDA20/scan/naive/kernel.cu,timeout,QF_AX,2151
28,CUDA20/scan/workefficient/kernel.cu,timeout,QF_AX,1917
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,timeout,QF_AX,1941
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_AX,1028
31,CUDA50/0_Simple/cppIntegration/kernel.cu,timeout,QF_AX,2002
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,timeout,QF_AX,2041
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,failed,QF_AX,2315
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,QF_AX,1001
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,timeout,QF_AX,2077
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,QF_AX,1090
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,success,QF_AX,1102
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,failed,QF_AX,1983
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,success,QF_AX,1029
40,CUDA50/0_Simple/simpleMultiCopy/simpleMultiCopy.cu,failed,QF_AX,2400
41,CUDA50/0_Simple/simpleMultiGPU/simpleMultiGPU.cu,success,QF_AX,1284
42,CUDA50/0_Simple/simpleP2P/simpleP2P.cu,success,QF_AX,1086
43,CUDA50/0_Simple/simplePitchLinearTexture/shiftArray.cu,success,QF_AX,922
44,CUDA50/0_Simple/simplePitchLinearTexture/shiftPitchLinear.cu,success,QF_AX,1027
45,CUDA50/0_Simple/simpleSeparateCompilation/simpleSeparateCompilation.cu,timeout,QF_AX,2047
46,CUDA50/0_Simple/simpleStreams/simpleStreams.cu,timeout,QF_AX,1950
47,CUDA50/0_Simple/simpleTexture/simpleTexture.cu,failed,QF_AX,1989
48,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAllKernel2.cu,success,QF_AX,1014
49,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel1.cu,success,QF_AX,999
50,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel3.cu,success,QF_AX,970
51,CUDA50/0_Simple/simpleZeroCopy/simpleZeroCopy.cu,failed,QF_AX,2011
52,CUDA50/0_Simple/template_runtime/template_runtime.cu,failed,QF_AX,1990
53,CUDA50/0_Simple/template/template.cu,timeout,QF_AX,2054
54,CUDA50/0_Simple/vectorAdd/vectorAdd.cu,failed,QF_AX,1950
55,CUDA50/2_Graphics/bindlessTexture/bindlessTexture.cu,failed,QF_AX,2175
56,CUDA50/2_Graphics/marchingCubes/classifyVoxel.cu,failed,QF_AX,2114
57,CUDA50/2_Graphics/simpleGL/simpleGL.cu,failed,QF_AX,2084
58,CUDA50/2_Graphics/simpleTexture3D/simpleTexture3D_kernel.cu,failed,QF_AX,2110
59,CUDA50/2_Graphics/volumeFiltering/d_render_preint.cu,success,QF_AX,1089
60,CUDA50/2_Graphics/volumeFiltering/d_render_preint_off.cu,success,QF_AX,1048
61,CUDA50/2_Graphics/volumeFiltering/d_render_regular.cu,success,QF_AX,1051
62,CUDA50/2_Graphics/volumeRender/volumeRender.cu,failed,QF_AX,2029
63,CUDA50/3_Imaging/bicubicTexture/d_renderBicubic.cu,success,QF_AX,1051
64,CUDA50/3_Imaging/bicubicTexture/d_renderCatRom.cu,success,QF_AX,1052
65,CUDA50/3_Imaging/bicubicTexture/d_render.cu,success,QF_AX,1027
66,CUDA50/3_Imaging/bicubicTexture/d_renderFastBicubic.cu,success,QF_AX,1018
67,CUDA50/3_Imaging/bilateralFilter/bilateralFilter.cu,success,QF_AX,1039
68,CUDA50/3_Imaging/boxFilter/d_boxfilter_rgba_x.cu,timeout,QF_AX,1977
69,CUDA50/3_Imaging/boxFilter/d_boxfilter_rgba_y.cu,timeout,QF_AX,2033
70,CUDA50/3_Imaging/boxFilter/d_boxfilter_x_global.cu,timeout,QF_AX,1763
71,CUDA50/3_Imaging/boxFilter/d_boxfilter_x_tex.cu,timeout,QF_AX,2044
72,CUDA50/3_Imaging/boxFilter/d_boxfilter_y_global.cu,success,QF_AX,850
73,CUDA50/3_Imaging/boxFilter/d_boxfilter_y_tex.cu,timeout,QF_AX,2079
74,CUDA50/3_Imaging/convolutionFFT2D/modulateAndNormalize_kernel.cu,timeout,QF_AX,2011
75,CUDA50/3_Imaging/convolutionFFT2D/padDataClampToBorder_kernel.cu,success,QF_AX,987
76,CUDA50/3_Imaging/convolutionFFT2D/padKernel_kernel.cu,failed,QF_AX,1908
77,CUDA50/3_Imaging/convolutionFFT2D/spPostprocess2D_kernel.cu,timeout,QF_AX,2052
78,CUDA50/3_Imaging/convolutionFFT2D/spPreprocess2D_kernel.cu,timeout,QF_AX,2019
79,CUDA50/3_Imaging/convolutionFFT2D/spProcess2D_kernel.cu,timeout,QF_AX,2111
80,CUDA50/3_Imaging/convolutionSeparable/convolutionColumnsKernel.cu,timeout,QF_AX,2048
81,CUDA50/3_Imaging/convolutionSeparable/convolutionRowsKernel.cu,timeout,QF_AX,2017
82,CUDA50/3_Imaging/convolutionTexture/convolutionColumnsKernel.cu,failed,QF_AX,1938
83,CUDA50/3_Imaging/convolutionTexture/convolutionRowsKernel.cu,failed,QF_AX,1955
84,CUDA50/3_Imaging/dct8x8/CUDAkernel1DCT.cu,failed,QF_AX,2168
85,CUDA50/3_Imaging/dct8x8/CUDAkernel1IDCT.cu,failed,QF_AX,2137
86,CUDA50/3_Imaging/dct8x8/CUDAkernel2DCT.cu,success,QF_AX,989
87,CUDA50/3_Imaging/dct8x8/CUDAkernel2IDCT.cu,success,QF_AX,924
88,CUDA50/3_Imaging/dct8x8/CUDAkernelQuantizationFloat.cu,timeout,QF_AX,1961
89,CUDA50/3_Imaging/dct8x8/CUDAkernelQuantizationShort.cu,success,QF_AX,989
90,CUDA50/3_Imaging/dct8x8/CUDAkernelShortDCT.cu,success,QF_AX,1035
91,CUDA50/3_Imaging/dct8x8/CUDAkernelShortIDCT.cu,success,QF_AX,1101
92,CUDA50/3_Imaging/dwtHaar1D/dwtHaar1D.cu,timeout,QF_AX,2203
93,CUDA50/3_Imaging/dwtHaar1D/initValue.cu,success,QF_AX,1010
94,CUDA50/3_Imaging/histogram/histogram256.cu,failed,QF_AX,2097
95,CUDA50/3_Imaging/histogram/histogram64.cu,success,QF_AX,1008
96,CUDA50/3_Imaging/histogram/mergeHistogram256Kernel.cu,timeout,QF_AX,2082
97,CUDA50/3_Imaging/histogram/mergeHistogram64Kernel.cu,timeout,QF_AX,2047
98,CUDA50/3_Imaging/HSOpticalFlow/addKernel.cu,failed,QF_AX,2046
99,CUDA50/3_Imaging/HSOpticalFlow/derivativesKernel.cu,success,QF_AX,1081
100,CUDA50/3_Imaging/HSOpticalFlow/downscaleKernel.cu,success,QF_AX,906
101,CUDA50/3_Imaging/HSOpticalFlow/solverKernel.cu,timeout,QF_AX,2160
102,CUDA50/3_Imaging/HSOpticalFlow/upscaleKernel.cu,success,QF_AX,971
103,CUDA50/3_Imaging/HSOpticalFlow/warpingKernel.cu,success,QF_AX,999
104,CUDA50/3_Imaging/imageDenoising/imageDenoising_copy_kernel.cu,failed,QF_AX,1935
105,CUDA50/3_Imaging/imageDenoising/imageDenoising_knn_kernel.cu,failed,QF_AX,1937
106,CUDA50/3_Imaging/imageDenoising/imageDenoising_nlm2_kernel.cu,success,QF_AX,1074
107,CUDA50/3_Imaging/imageDenoising/imageDenoising_nlm_kernel.cu,failed,QF_AX,1982
108,CUDA50/3_Imaging/postProcessGL/postProcessGL.cu,timeout,QF_AX,2089
109,CUDA50/3_Imaging/recursiveGaussian/d_recursiveGaussian_rgba.cu,timeout,QF_AX,1913
110,CUDA50/3_Imaging/recursiveGaussian/d_simpleRecursive_rgba.cu,timeout,QF_AX,2099
111,CUDA50/3_Imaging/recursiveGaussian/d_transpose.cu,success,QF_AX,1092
112,CUDA50/3_Imaging/SobelFilter/SobelCopyImage.cu,success,QF_AX,986
113,CUDA50/3_Imaging/SobelFilter/SobelShared.cu,timeout,QF_AX,2088
114,CUDA50/3_Imaging/SobelFilter/SobelTex.cu,success,QF_AX,982
115,CUDA50/4_Finance/binomialOptions/binomialOptions.cu,failed,QF_AX,3269
116,CUDA50/4_Finance/BlackScholes/BlackScholes.cu,failed,QF_AX,2037
117,CUDA50/4_Finance/MonteCarloMultiGPU/MonteCarloOneBlockPerOption.cu,timeout,QF_AX,2072
118,CUDA50/4_Finance/MonteCarloMultiGPU/rngSetupStates.cu,success,QF_AX,968
119,CUDA50/4_Finance/quasirandomGenerator/inverseCNDKernel.cu,timeout,QF_AX,2029
120,CUDA50/4_Finance/quasirandomGenerator/quasirandomGeneratorKernel.cu,failed,QF_AX,1982
121,CUDA50/4_Finance/SobolQRNG/sobol.cu,timeout,QF_AX,1882
122,CUDA50/5_Simulations/fluidsGL/addForces_k.cu,success,QF_AX,952
123,CUDA50/5_Simulations/fluidsGL/advectParticles_k.cu,timeout,QF_AX,2021
124,CUDA50/5_Simulations/fluidsGL/advectVelocity_k.cu,success,QF_AX,1056
125,CUDA50/5_Simulations/fluidsGL/diffuseProject_k.cu,timeout,QF_AX,1759
126,CUDA50/5_Simulations/fluidsGL/updateVelocity_k.cu,success,QF_AX,956
127,CUDA50/5_Simulations/nbody/nbody.cu,timeout,QF_AX,2016
128,CUDA50/5_Simulations/oceanFFT/calculateSlopeKernel.cu,success,QF_AX,979
129,CUDA50/5_Simulations/oceanFFT/generateSpectrumKernel.cu,success,QF_AX,1010
130,CUDA50/5_Simulations/oceanFFT/updateHeightmapKernel.cu,success,QF_AX,990
131,CUDA50/5_Simulations/particles/calcHashD.cu,failed,QF_AX,2016
132,CUDA50/5_Simulations/particles/collideD.cu,failed,QF_AX,2048
133,CUDA50/6_Advanced/alignedTypes/alignedTypes.cu,failed,QF_AX,1958
134,CUDA50/6_Advanced/concurrentKernels/sum.cu,timeout,QF_AX,2084
135,CUDA50/6_Advanced/eigenvalues/bisect_kernel_large_onei.cu,failed,QF_AX,2398
