file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,QF_BVRE,1013
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,QF_BVRE,1206
3,C++AMP/BinomialOptions/kernel.cu,success,QF_BVRE,1946
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,QF_BVRE,1000
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,QF_BVRE,1016
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,QF_BVRE,978
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,QF_BVRE,1077
8,C++AMP/DxInterOp/kernel.cu,success,QF_BVRE,1883
9,C++AMP/HelloWorldCSharp/kernel.cu,success,QF_BVRE,1053
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,QF_BVRE,1108
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,QF_BVRE,949
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,QF_BVRE,1136
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,QF_BVRE,966
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,QF_BVRE,972
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,QF_BVRE,1029
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,QF_BVRE,1130
17,C++AMP/OceanCS/kernel.cu,success,QF_BVRE,1019
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,QF_BVRE,2173
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,QF_BVRE,2072
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,QF_BVRE,1139
21,CUDA20/bitonicsort/kernel.cu,success,QF_BVRE,1189
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,QF_BVRE,981
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,QF_BVRE,1099
24,CUDA20/scan/best/kernel.cu,success,QF_BVRE,1068
25,CUDA20/scanlarge/inline/kernel.cu,failed,QF_BVRE,2221
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,QF_BVRE,1040
27,CUDA20/scan/naive/kernel.cu,success,QF_BVRE,1131
28,CUDA20/scan/workefficient/kernel.cu,success,QF_BVRE,1176
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,QF_BVRE,990
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_BVRE,934
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,QF_BVRE,975
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,QF_BVRE,1047
