file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,failed,QF_DT,2010
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,QF_DT,1028
3,C++AMP/BinomialOptions/kernel.cu,failed,QF_DT,3236
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,failed,QF_DT,2319
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,QF_DT,1018
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,QF_DT,1036
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,QF_DT,1052
8,C++AMP/DxInterOp/kernel.cu,timeout,QF_DT,2093
9,C++AMP/HelloWorldCSharp/kernel.cu,timeout,QF_DT,2014
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,timeout,QF_DT,2049
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,QF_DT,962
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,failed,QF_DT,2324
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,timeout,QF_DT,2049
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,failed,QF_DT,1973
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,QF_DT,1077
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,failed,QF_DT,2185
17,C++AMP/OceanCS/kernel.cu,timeout,QF_DT,1983
18,C++AMP/TransitiveClosure/stage1/kernel.cu,timeout,QF_DT,2120
19,C++AMP/TransitiveClosure/stage2/kernel.cu,timeout,QF_DT,2143
20,C++AMP/TransitiveClosure/stage3/kernel.cu,timeout,QF_DT,2114
21,CUDA20/bitonicsort/kernel.cu,success,QF_DT,1080
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,QF_DT,1032
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,timeout,QF_DT,2175
24,CUDA20/scan/best/kernel.cu,timeout,QF_DT,2006
25,CUDA20/scanlarge/inline/kernel.cu,timeout,QF_DT,1932
26,CUDA20/scanlarge/uniformAdd/kernel.cu,timeout,QF_DT,2078
27,CUDA20/scan/naive/kernel.cu,timeout,QF_DT,2148
28,CUDA20/scan/workefficient/kernel.cu,timeout,QF_DT,2041
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,timeout,QF_DT,2060
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_DT,1018
31,CUDA50/0_Simple/cppIntegration/kernel.cu,timeout,QF_DT,2054
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,timeout,QF_DT,1928
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,failed,QF_DT,2238
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,QF_DT,1078
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,timeout,QF_DT,1927
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,QF_DT,997
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,success,QF_DT,1020
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,failed,QF_DT,2143
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,success,QF_DT,992
40,CUDA50/0_Simple/simpleMultiCopy/simpleMultiCopy.cu,failed,QF_DT,1980
41,CUDA50/0_Simple/simpleMultiGPU/simpleMultiGPU.cu,success,QF_DT,1006
42,CUDA50/0_Simple/simpleP2P/simpleP2P.cu,success,QF_DT,973
43,CUDA50/0_Simple/simplePitchLinearTexture/shiftArray.cu,success,QF_DT,1015
44,CUDA50/0_Simple/simplePitchLinearTexture/shiftPitchLinear.cu,success,QF_DT,985
