file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,QF_FP,965
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,QF_FP,934
3,C++AMP/BinomialOptions/kernel.cu,success,QF_FP,1491
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,QF_FP,1028
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,QF_FP,1050
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,QF_FP,1006
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,QF_FP,871
8,C++AMP/DxInterOp/kernel.cu,success,QF_FP,1015
9,C++AMP/HelloWorldCSharp/kernel.cu,success,QF_FP,997
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,QF_FP,1081
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,QF_FP,971
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,QF_FP,1096
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,QF_FP,865
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,QF_FP,950
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,QF_FP,1059
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,QF_FP,1160
17,C++AMP/OceanCS/kernel.cu,success,QF_FP,959
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,QF_FP,2044
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,QF_FP,2053
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,QF_FP,1147
21,CUDA20/bitonicsort/kernel.cu,success,QF_FP,999
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,QF_FP,1055
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,QF_FP,1139
24,CUDA20/scan/best/kernel.cu,success,QF_FP,1125
25,CUDA20/scanlarge/inline/kernel.cu,failed,QF_FP,2119
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,QF_FP,975
27,CUDA20/scan/naive/kernel.cu,success,QF_FP,1011
28,CUDA20/scan/workefficient/kernel.cu,success,QF_FP,1100
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,QF_FP,986
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_FP,966
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,QF_FP,1017
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,QF_FP,933
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,success,QF_FP,1071
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,QF_FP,926
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,success,QF_FP,944
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,QF_FP,955
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,success,QF_FP,924
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,success,QF_FP,1046
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,success,QF_FP,947
40,CUDA50/0_Simple/simpleMultiCopy/simpleMultiCopy.cu,success,QF_FP,1009
41,CUDA50/0_Simple/simpleMultiGPU/simpleMultiGPU.cu,success,QF_FP,968
42,CUDA50/0_Simple/simpleP2P/simpleP2P.cu,success,QF_FP,925
43,CUDA50/0_Simple/simplePitchLinearTexture/shiftArray.cu,success,QF_FP,1032
44,CUDA50/0_Simple/simplePitchLinearTexture/shiftPitchLinear.cu,success,QF_FP,917
45,CUDA50/0_Simple/simpleSeparateCompilation/simpleSeparateCompilation.cu,success,QF_FP,1021
46,CUDA50/0_Simple/simpleStreams/simpleStreams.cu,success,QF_FP,953
47,CUDA50/0_Simple/simpleTexture/simpleTexture.cu,success,QF_FP,1011
48,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAllKernel2.cu,success,QF_FP,1005
49,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel1.cu,success,QF_FP,916
50,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel3.cu,success,QF_FP,1040
51,CUDA50/0_Simple/simpleZeroCopy/simpleZeroCopy.cu,success,QF_FP,975
52,CUDA50/0_Simple/template_runtime/template_runtime.cu,success,QF_FP,1014
53,CUDA50/0_Simple/template/template.cu,success,QF_FP,976
54,CUDA50/0_Simple/vectorAdd/vectorAdd.cu,success,QF_FP,992
55,CUDA50/2_Graphics/bindlessTexture/bindlessTexture.cu,success,QF_FP,1048
56,CUDA50/2_Graphics/marchingCubes/classifyVoxel.cu,success,QF_FP,967
57,CUDA50/2_Graphics/simpleGL/simpleGL.cu,success,QF_FP,1017
58,CUDA50/2_Graphics/simpleTexture3D/simpleTexture3D_kernel.cu,success,QF_FP,982
59,CUDA50/2_Graphics/volumeFiltering/d_render_preint.cu,success,QF_FP,1026
60,CUDA50/2_Graphics/volumeFiltering/d_render_preint_off.cu,success,QF_FP,979
61,CUDA50/2_Graphics/volumeFiltering/d_render_regular.cu,success,QF_FP,1009
62,CUDA50/2_Graphics/volumeRender/volumeRender.cu,success,QF_FP,1058
63,CUDA50/3_Imaging/bicubicTexture/d_renderBicubic.cu,success,QF_FP,1037
64,CUDA50/3_Imaging/bicubicTexture/d_renderCatRom.cu,success,QF_FP,1118
65,CUDA50/3_Imaging/bicubicTexture/d_render.cu,success,QF_FP,1107
66,CUDA50/3_Imaging/bicubicTexture/d_renderFastBicubic.cu,success,QF_FP,1045
67,CUDA50/3_Imaging/bilateralFilter/bilateralFilter.cu,success,QF_FP,943
68,CUDA50/3_Imaging/boxFilter/d_boxfilter_rgba_x.cu,success,QF_FP,1020
69,CUDA50/3_Imaging/boxFilter/d_boxfilter_rgba_y.cu,success,QF_FP,15608
70,CUDA50/3_Imaging/boxFilter/d_boxfilter_x_global.cu,success,QF_FP,970
71,CUDA50/3_Imaging/boxFilter/d_boxfilter_x_tex.cu,success,QF_FP,1012
72,CUDA50/3_Imaging/boxFilter/d_boxfilter_y_global.cu,success,QF_FP,965
73,CUDA50/3_Imaging/boxFilter/d_boxfilter_y_tex.cu,success,QF_FP,989
74,CUDA50/3_Imaging/convolutionFFT2D/modulateAndNormalize_kernel.cu,success,QF_FP,952
75,CUDA50/3_Imaging/convolutionFFT2D/padDataClampToBorder_kernel.cu,success,QF_FP,997
76,CUDA50/3_Imaging/convolutionFFT2D/padKernel_kernel.cu,success,QF_FP,990
77,CUDA50/3_Imaging/convolutionFFT2D/spPostprocess2D_kernel.cu,failed,QF_FP,2008
78,CUDA50/3_Imaging/convolutionFFT2D/spPreprocess2D_kernel.cu,failed,QF_FP,1910
79,CUDA50/3_Imaging/convolutionFFT2D/spProcess2D_kernel.cu,failed,QF_FP,1876
80,CUDA50/3_Imaging/convolutionSeparable/convolutionColumnsKernel.cu,success,QF_FP,979
81,CUDA50/3_Imaging/convolutionSeparable/convolutionRowsKernel.cu,success,QF_FP,1033
82,CUDA50/3_Imaging/convolutionTexture/convolutionColumnsKernel.cu,success,QF_FP,984
83,CUDA50/3_Imaging/convolutionTexture/convolutionRowsKernel.cu,success,QF_FP,996
84,CUDA50/3_Imaging/dct8x8/CUDAkernel1DCT.cu,success,QF_FP,1057
85,CUDA50/3_Imaging/dct8x8/CUDAkernel1IDCT.cu,success,QF_FP,1037
86,CUDA50/3_Imaging/dct8x8/CUDAkernel2DCT.cu,success,QF_FP,959
87,CUDA50/3_Imaging/dct8x8/CUDAkernel2IDCT.cu,success,QF_FP,989
88,CUDA50/3_Imaging/dct8x8/CUDAkernelQuantizationFloat.cu,success,QF_FP,984
