file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,failed,QF_IDL,1983
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,failed,QF_IDL,1996
3,C++AMP/BinomialOptions/kernel.cu,failed,QF_IDL,2702
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,failed,QF_IDL,2127
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,failed,QF_IDL,2009
6,C++AMP/Convolution/convolution_simple/kernel.cu,failed,QF_IDL,1959
7,C++AMP/Convolution/convolution_tiling/kernel.cu,failed,QF_IDL,1951
8,C++AMP/DxInterOp/kernel.cu,failed,QF_IDL,2002
9,C++AMP/HelloWorldCSharp/kernel.cu,failed,QF_IDL,1931
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,failed,QF_IDL,1955
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,failed,QF_IDL,2032
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,QF_IDL,1045
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,failed,QF_IDL,1808
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,failed,QF_IDL,1947
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,failed,QF_IDL,2104
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,failed,QF_IDL,2095
17,C++AMP/OceanCS/kernel.cu,failed,QF_IDL,2002
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,QF_IDL,1938
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,QF_IDL,2250
20,C++AMP/TransitiveClosure/stage3/kernel.cu,failed,QF_IDL,2116
21,CUDA20/bitonicsort/kernel.cu,success,QF_IDL,1130
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,failed,QF_IDL,2002
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,failed,QF_IDL,2126
24,CUDA20/scan/best/kernel.cu,failed,QF_IDL,2227
25,CUDA20/scanlarge/inline/kernel.cu,failed,QF_IDL,2169
26,CUDA20/scanlarge/uniformAdd/kernel.cu,failed,QF_IDL,1971
27,CUDA20/scan/naive/kernel.cu,failed,QF_IDL,2040
28,CUDA20/scan/workefficient/kernel.cu,failed,QF_IDL,2186
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,failed,QF_IDL,1950
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_IDL,965
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,QF_IDL,965
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,failed,QF_IDL,1839
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,failed,QF_IDL,1997
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,QF_IDL,991
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,failed,QF_IDL,2025
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,QF_IDL,963
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,failed,QF_IDL,1845
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,failed,QF_IDL,1917
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,failed,QF_IDL,1913
40,CUDA50/0_Simple/simpleMultiCopy/simpleMultiCopy.cu,failed,QF_IDL,2045
41,CUDA50/0_Simple/simpleMultiGPU/simpleMultiGPU.cu,failed,QF_IDL,1923
42,CUDA50/0_Simple/simpleP2P/simpleP2P.cu,failed,QF_IDL,1871
43,CUDA50/0_Simple/simplePitchLinearTexture/shiftArray.cu,failed,QF_IDL,1971
44,CUDA50/0_Simple/simplePitchLinearTexture/shiftPitchLinear.cu,failed,QF_IDL,1935
45,CUDA50/0_Simple/simpleSeparateCompilation/simpleSeparateCompilation.cu,failed,QF_IDL,1887
46,CUDA50/0_Simple/simpleStreams/simpleStreams.cu,failed,QF_IDL,1964
47,CUDA50/0_Simple/simpleTexture/simpleTexture.cu,failed,QF_IDL,1955
48,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAllKernel2.cu,success,QF_IDL,942
49,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel1.cu,success,QF_IDL,967
50,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel3.cu,success,QF_IDL,1002
51,CUDA50/0_Simple/simpleZeroCopy/simpleZeroCopy.cu,failed,QF_IDL,1921
52,CUDA50/0_Simple/template_runtime/template_runtime.cu,failed,QF_IDL,1820
53,CUDA50/0_Simple/template/template.cu,success,QF_IDL,879
54,CUDA50/0_Simple/vectorAdd/vectorAdd.cu,failed,QF_IDL,1781
55,CUDA50/2_Graphics/bindlessTexture/bindlessTexture.cu,failed,QF_IDL,1929
56,CUDA50/2_Graphics/marchingCubes/classifyVoxel.cu,failed,QF_IDL,1969
57,CUDA50/2_Graphics/simpleGL/simpleGL.cu,failed,QF_IDL,2025
58,CUDA50/2_Graphics/simpleTexture3D/simpleTexture3D_kernel.cu,failed,QF_IDL,1905
59,CUDA50/2_Graphics/volumeFiltering/d_render_preint.cu,success,QF_IDL,966
60,CUDA50/2_Graphics/volumeFiltering/d_render_preint_off.cu,success,QF_IDL,1001
61,CUDA50/2_Graphics/volumeFiltering/d_render_regular.cu,success,QF_IDL,1001
62,CUDA50/2_Graphics/volumeRender/volumeRender.cu,failed,QF_IDL,1922
63,CUDA50/3_Imaging/bicubicTexture/d_renderBicubic.cu,failed,QF_IDL,2216
64,CUDA50/3_Imaging/bicubicTexture/d_renderCatRom.cu,failed,QF_IDL,2022
65,CUDA50/3_Imaging/bicubicTexture/d_render.cu,failed,QF_IDL,2058
66,CUDA50/3_Imaging/bicubicTexture/d_renderFastBicubic.cu,failed,QF_IDL,2106
67,CUDA50/3_Imaging/bilateralFilter/bilateralFilter.cu,failed,QF_IDL,2003
68,CUDA50/3_Imaging/boxFilter/d_boxfilter_rgba_x.cu,failed,QF_IDL,1962
69,CUDA50/3_Imaging/boxFilter/d_boxfilter_rgba_y.cu,failed,QF_IDL,2011
70,CUDA50/3_Imaging/boxFilter/d_boxfilter_x_global.cu,failed,QF_IDL,1988
71,CUDA50/3_Imaging/boxFilter/d_boxfilter_x_tex.cu,failed,QF_IDL,2019
72,CUDA50/3_Imaging/boxFilter/d_boxfilter_y_global.cu,success,QF_IDL,1002
73,CUDA50/3_Imaging/boxFilter/d_boxfilter_y_tex.cu,failed,QF_IDL,1990
74,CUDA50/3_Imaging/convolutionFFT2D/modulateAndNormalize_kernel.cu,failed,QF_IDL,1978
75,CUDA50/3_Imaging/convolutionFFT2D/padDataClampToBorder_kernel.cu,failed,QF_IDL,2017
76,CUDA50/3_Imaging/convolutionFFT2D/padKernel_kernel.cu,failed,QF_IDL,1882
77,CUDA50/3_Imaging/convolutionFFT2D/spPostprocess2D_kernel.cu,failed,QF_IDL,1911
78,CUDA50/3_Imaging/convolutionFFT2D/spPreprocess2D_kernel.cu,failed,QF_IDL,2032
79,CUDA50/3_Imaging/convolutionFFT2D/spProcess2D_kernel.cu,failed,QF_IDL,2068
80,CUDA50/3_Imaging/convolutionSeparable/convolutionColumnsKernel.cu,failed,QF_IDL,1995
81,CUDA50/3_Imaging/convolutionSeparable/convolutionRowsKernel.cu,failed,QF_IDL,2004
82,CUDA50/3_Imaging/convolutionTexture/convolutionColumnsKernel.cu,failed,QF_IDL,2083
83,CUDA50/3_Imaging/convolutionTexture/convolutionRowsKernel.cu,failed,QF_IDL,1988
84,CUDA50/3_Imaging/dct8x8/CUDAkernel1DCT.cu,failed,QF_IDL,2037
85,CUDA50/3_Imaging/dct8x8/CUDAkernel1IDCT.cu,failed,QF_IDL,2214
86,CUDA50/3_Imaging/dct8x8/CUDAkernel2DCT.cu,failed,QF_IDL,1977
87,CUDA50/3_Imaging/dct8x8/CUDAkernel2IDCT.cu,failed,QF_IDL,2005
88,CUDA50/3_Imaging/dct8x8/CUDAkernelQuantizationFloat.cu,failed,QF_IDL,1986
89,CUDA50/3_Imaging/dct8x8/CUDAkernelQuantizationShort.cu,failed,QF_IDL,2036
90,CUDA50/3_Imaging/dct8x8/CUDAkernelShortDCT.cu,success,QF_IDL,1094
91,CUDA50/3_Imaging/dct8x8/CUDAkernelShortIDCT.cu,success,QF_IDL,1015
92,CUDA50/3_Imaging/dwtHaar1D/dwtHaar1D.cu,failed,QF_IDL,2203
93,CUDA50/3_Imaging/dwtHaar1D/initValue.cu,failed,QF_IDL,2121
94,CUDA50/3_Imaging/histogram/histogram256.cu,failed,QF_IDL,2014
95,CUDA50/3_Imaging/histogram/histogram64.cu,failed,QF_IDL,2081
96,CUDA50/3_Imaging/histogram/mergeHistogram256Kernel.cu,failed,QF_IDL,1999
97,CUDA50/3_Imaging/histogram/mergeHistogram64Kernel.cu,failed,QF_IDL,1954
98,CUDA50/3_Imaging/HSOpticalFlow/addKernel.cu,failed,QF_IDL,1974
99,CUDA50/3_Imaging/HSOpticalFlow/derivativesKernel.cu,failed,QF_IDL,2064
