file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,QF_LIA,838
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,QF_LIA,979
3,C++AMP/BinomialOptions/kernel.cu,success,QF_LIA,1558
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,QF_LIA,1018
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,QF_LIA,1023
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,QF_LIA,979
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,QF_LIA,945
8,C++AMP/DxInterOp/kernel.cu,success,QF_LIA,981
9,C++AMP/HelloWorldCSharp/kernel.cu,success,QF_LIA,949
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,QF_LIA,1004
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,QF_LIA,1033
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,QF_LIA,995
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,QF_LIA,976
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,QF_LIA,948
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,QF_LIA,1021
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,QF_LIA,983
17,C++AMP/OceanCS/kernel.cu,success,QF_LIA,975
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,QF_LIA,2093
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,QF_LIA,2049
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,QF_LIA,999
21,CUDA20/bitonicsort/kernel.cu,success,QF_LIA,1094
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,QF_LIA,993
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,QF_LIA,996
24,CUDA20/scan/best/kernel.cu,success,QF_LIA,931
25,CUDA20/scanlarge/inline/kernel.cu,failed,QF_LIA,2070
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,QF_LIA,1000
27,CUDA20/scan/naive/kernel.cu,success,QF_LIA,1059
28,CUDA20/scan/workefficient/kernel.cu,success,QF_LIA,1074
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,QF_LIA,921
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_LIA,868
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,QF_LIA,960
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,QF_LIA,994
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,success,QF_LIA,1074
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,QF_LIA,995
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,success,QF_LIA,890
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,QF_LIA,915
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,success,QF_LIA,1013
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,success,QF_LIA,989
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,success,QF_LIA,919
