file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,QF_LRA,997
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,QF_LRA,916
3,C++AMP/BinomialOptions/kernel.cu,success,QF_LRA,1481
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,QF_LRA,988
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,QF_LRA,1051
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,QF_LRA,969
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,QF_LRA,1072
8,C++AMP/DxInterOp/kernel.cu,success,QF_LRA,959
9,C++AMP/HelloWorldCSharp/kernel.cu,success,QF_LRA,1021
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,QF_LRA,976
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,QF_LRA,986
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,QF_LRA,974
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,QF_LRA,992
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,QF_LRA,955
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,QF_LRA,981
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,QF_LRA,1045
17,C++AMP/OceanCS/kernel.cu,success,QF_LRA,899
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,QF_LRA,1906
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,QF_LRA,2030
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,QF_LRA,1067
21,CUDA20/bitonicsort/kernel.cu,success,QF_LRA,1160
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,QF_LRA,980
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,QF_LRA,927
24,CUDA20/scan/best/kernel.cu,success,QF_LRA,1023
25,CUDA20/scanlarge/inline/kernel.cu,failed,QF_LRA,2018
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,QF_LRA,945
27,CUDA20/scan/naive/kernel.cu,success,QF_LRA,1054
28,CUDA20/scan/workefficient/kernel.cu,success,QF_LRA,1081
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,QF_LRA,1078
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_LRA,986
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,QF_LRA,929
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,QF_LRA,1011
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,success,QF_LRA,1112
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,QF_LRA,921
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,success,QF_LRA,1046
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,QF_LRA,1009
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,success,QF_LRA,1031
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,success,QF_LRA,879
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,success,QF_LRA,968
40,CUDA50/0_Simple/simpleMultiCopy/simpleMultiCopy.cu,success,QF_LRA,1008
41,CUDA50/0_Simple/simpleMultiGPU/simpleMultiGPU.cu,success,QF_LRA,1005
42,CUDA50/0_Simple/simpleP2P/simpleP2P.cu,success,QF_LRA,994
43,CUDA50/0_Simple/simplePitchLinearTexture/shiftArray.cu,success,QF_LRA,990
44,CUDA50/0_Simple/simplePitchLinearTexture/shiftPitchLinear.cu,success,QF_LRA,924
45,CUDA50/0_Simple/simpleSeparateCompilation/simpleSeparateCompilation.cu,success,QF_LRA,975
46,CUDA50/0_Simple/simpleStreams/simpleStreams.cu,success,QF_LRA,955
47,CUDA50/0_Simple/simpleTexture/simpleTexture.cu,success,QF_LRA,959
48,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAllKernel2.cu,success,QF_LRA,949
49,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel1.cu,success,QF_LRA,850
50,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel3.cu,success,QF_LRA,994
51,CUDA50/0_Simple/simpleZeroCopy/simpleZeroCopy.cu,success,QF_LRA,877
52,CUDA50/0_Simple/template_runtime/template_runtime.cu,success,QF_LRA,1003
53,CUDA50/0_Simple/template/template.cu,success,QF_LRA,1083
54,CUDA50/0_Simple/vectorAdd/vectorAdd.cu,success,QF_LRA,1029
55,CUDA50/2_Graphics/bindlessTexture/bindlessTexture.cu,success,QF_LRA,949
56,CUDA50/2_Graphics/marchingCubes/classifyVoxel.cu,success,QF_LRA,1060
57,CUDA50/2_Graphics/simpleGL/simpleGL.cu,success,QF_LRA,946
58,CUDA50/2_Graphics/simpleTexture3D/simpleTexture3D_kernel.cu,success,QF_LRA,966
59,CUDA50/2_Graphics/volumeFiltering/d_render_preint.cu,success,QF_LRA,1000
60,CUDA50/2_Graphics/volumeFiltering/d_render_preint_off.cu,success,QF_LRA,1080
61,CUDA50/2_Graphics/volumeFiltering/d_render_regular.cu,success,QF_LRA,981
62,CUDA50/2_Graphics/volumeRender/volumeRender.cu,success,QF_LRA,1000
63,CUDA50/3_Imaging/bicubicTexture/d_renderBicubic.cu,success,QF_LRA,1027
64,CUDA50/3_Imaging/bicubicTexture/d_renderCatRom.cu,success,QF_LRA,1002
65,CUDA50/3_Imaging/bicubicTexture/d_render.cu,success,QF_LRA,1026
66,CUDA50/3_Imaging/bicubicTexture/d_renderFastBicubic.cu,success,QF_LRA,1019
67,CUDA50/3_Imaging/bilateralFilter/bilateralFilter.cu,success,QF_LRA,946
68,CUDA50/3_Imaging/boxFilter/d_boxfilter_rgba_x.cu,success,QF_LRA,927
69,CUDA50/3_Imaging/boxFilter/d_boxfilter_rgba_y.cu,success,QF_LRA,5972
70,CUDA50/3_Imaging/boxFilter/d_boxfilter_x_global.cu,success,QF_LRA,1048
71,CUDA50/3_Imaging/boxFilter/d_boxfilter_x_tex.cu,success,QF_LRA,980
72,CUDA50/3_Imaging/boxFilter/d_boxfilter_y_global.cu,success,QF_LRA,987
73,CUDA50/3_Imaging/boxFilter/d_boxfilter_y_tex.cu,success,QF_LRA,965
74,CUDA50/3_Imaging/convolutionFFT2D/modulateAndNormalize_kernel.cu,success,QF_LRA,1015
75,CUDA50/3_Imaging/convolutionFFT2D/padDataClampToBorder_kernel.cu,success,QF_LRA,967
76,CUDA50/3_Imaging/convolutionFFT2D/padKernel_kernel.cu,success,QF_LRA,1034
77,CUDA50/3_Imaging/convolutionFFT2D/spPostprocess2D_kernel.cu,failed,QF_LRA,1992
78,CUDA50/3_Imaging/convolutionFFT2D/spPreprocess2D_kernel.cu,failed,QF_LRA,1984
79,CUDA50/3_Imaging/convolutionFFT2D/spProcess2D_kernel.cu,failed,QF_LRA,1926
