file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,failed,QF_RDL,1918
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,QF_RDL,968
3,C++AMP/BinomialOptions/kernel.cu,failed,QF_RDL,3647
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,failed,QF_RDL,2066
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,QF_RDL,1005
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,QF_RDL,985
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,QF_RDL,1008
8,C++AMP/DxInterOp/kernel.cu,failed,QF_RDL,2084
9,C++AMP/HelloWorldCSharp/kernel.cu,failed,QF_RDL,2005
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,failed,QF_RDL,2134
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,QF_RDL,915
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,failed,QF_RDL,2208
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,failed,QF_RDL,2059
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,failed,QF_RDL,1971
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,QF_RDL,902
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,failed,QF_RDL,2173
17,C++AMP/OceanCS/kernel.cu,failed,QF_RDL,1912
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,QF_RDL,1983
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,QF_RDL,2206
20,C++AMP/TransitiveClosure/stage3/kernel.cu,failed,QF_RDL,2222
21,CUDA20/bitonicsort/kernel.cu,success,QF_RDL,1092
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,QF_RDL,1004
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,failed,QF_RDL,2172
24,CUDA20/scan/best/kernel.cu,failed,QF_RDL,2185
25,CUDA20/scanlarge/inline/kernel.cu,failed,QF_RDL,2289
26,CUDA20/scanlarge/uniformAdd/kernel.cu,failed,QF_RDL,2007
27,CUDA20/scan/naive/kernel.cu,failed,QF_RDL,2038
28,CUDA20/scan/workefficient/kernel.cu,failed,QF_RDL,2324
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,failed,QF_RDL,1990
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_RDL,928
31,CUDA50/0_Simple/cppIntegration/kernel.cu,failed,QF_RDL,1961
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,failed,QF_RDL,1832
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,failed,QF_RDL,2131
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,QF_RDL,1072
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,failed,QF_RDL,1980
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,QF_RDL,921
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,success,QF_RDL,1068
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,failed,QF_RDL,2007
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,success,QF_RDL,976
40,CUDA50/0_Simple/simpleMultiCopy/simpleMultiCopy.cu,failed,QF_RDL,1958
41,CUDA50/0_Simple/simpleMultiGPU/simpleMultiGPU.cu,success,QF_RDL,936
42,CUDA50/0_Simple/simpleP2P/simpleP2P.cu,success,QF_RDL,975
43,CUDA50/0_Simple/simplePitchLinearTexture/shiftArray.cu,success,QF_RDL,985
44,CUDA50/0_Simple/simplePitchLinearTexture/shiftPitchLinear.cu,success,QF_RDL,1008
45,CUDA50/0_Simple/simpleSeparateCompilation/simpleSeparateCompilation.cu,failed,QF_RDL,1978
46,CUDA50/0_Simple/simpleStreams/simpleStreams.cu,failed,QF_RDL,2102
47,CUDA50/0_Simple/simpleTexture/simpleTexture.cu,failed,QF_RDL,2080
48,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAllKernel2.cu,success,QF_RDL,1010
49,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel1.cu,success,QF_RDL,966
50,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel3.cu,success,QF_RDL,966
51,CUDA50/0_Simple/simpleZeroCopy/simpleZeroCopy.cu,failed,QF_RDL,2000
52,CUDA50/0_Simple/template_runtime/template_runtime.cu,failed,QF_RDL,1962
53,CUDA50/0_Simple/template/template.cu,failed,QF_RDL,2014
54,CUDA50/0_Simple/vectorAdd/vectorAdd.cu,failed,QF_RDL,1925
55,CUDA50/2_Graphics/bindlessTexture/bindlessTexture.cu,failed,QF_RDL,1978
56,CUDA50/2_Graphics/marchingCubes/classifyVoxel.cu,failed,QF_RDL,2120
57,CUDA50/2_Graphics/simpleGL/simpleGL.cu,failed,QF_RDL,1978
58,CUDA50/2_Graphics/simpleTexture3D/simpleTexture3D_kernel.cu,failed,QF_RDL,1995
59,CUDA50/2_Graphics/volumeFiltering/d_render_preint.cu,success,QF_RDL,990
60,CUDA50/2_Graphics/volumeFiltering/d_render_preint_off.cu,success,QF_RDL,926
61,CUDA50/2_Graphics/volumeFiltering/d_render_regular.cu,success,QF_RDL,1025
62,CUDA50/2_Graphics/volumeRender/volumeRender.cu,failed,QF_RDL,2170
63,CUDA50/3_Imaging/bicubicTexture/d_renderBicubic.cu,success,QF_RDL,1103
64,CUDA50/3_Imaging/bicubicTexture/d_renderCatRom.cu,success,QF_RDL,996
65,CUDA50/3_Imaging/bicubicTexture/d_render.cu,success,QF_RDL,1002
66,CUDA50/3_Imaging/bicubicTexture/d_renderFastBicubic.cu,success,QF_RDL,1023
67,CUDA50/3_Imaging/bilateralFilter/bilateralFilter.cu,success,QF_RDL,1086
68,CUDA50/3_Imaging/boxFilter/d_boxfilter_rgba_x.cu,failed,QF_RDL,2004
69,CUDA50/3_Imaging/boxFilter/d_boxfilter_rgba_y.cu,failed,QF_RDL,1933
70,CUDA50/3_Imaging/boxFilter/d_boxfilter_x_global.cu,failed,QF_RDL,2016
71,CUDA50/3_Imaging/boxFilter/d_boxfilter_x_tex.cu,failed,QF_RDL,2030
72,CUDA50/3_Imaging/boxFilter/d_boxfilter_y_global.cu,success,QF_RDL,969
73,CUDA50/3_Imaging/boxFilter/d_boxfilter_y_tex.cu,failed,QF_RDL,2008
74,CUDA50/3_Imaging/convolutionFFT2D/modulateAndNormalize_kernel.cu,failed,QF_RDL,1961
75,CUDA50/3_Imaging/convolutionFFT2D/padDataClampToBorder_kernel.cu,success,QF_RDL,919
76,CUDA50/3_Imaging/convolutionFFT2D/padKernel_kernel.cu,failed,QF_RDL,2065
77,CUDA50/3_Imaging/convolutionFFT2D/spPostprocess2D_kernel.cu,failed,QF_RDL,2002
78,CUDA50/3_Imaging/convolutionFFT2D/spPreprocess2D_kernel.cu,failed,QF_RDL,1891
79,CUDA50/3_Imaging/convolutionFFT2D/spProcess2D_kernel.cu,failed,QF_RDL,1940
80,CUDA50/3_Imaging/convolutionSeparable/convolutionColumnsKernel.cu,failed,QF_RDL,1967
