file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,QF_S,940
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,QF_S,964
3,C++AMP/BinomialOptions/kernel.cu,success,QF_S,1843
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,QF_S,1036
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,QF_S,895
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,QF_S,899
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,QF_S,959
8,C++AMP/DxInterOp/kernel.cu,success,QF_S,1054
9,C++AMP/HelloWorldCSharp/kernel.cu,success,QF_S,993
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,QF_S,1062
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,QF_S,1016
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,QF_S,1010
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,QF_S,1023
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,QF_S,966
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,QF_S,1030
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,QF_S,1003
17,C++AMP/OceanCS/kernel.cu,success,QF_S,966
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,QF_S,2342
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,QF_S,2147
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,QF_S,1133
21,CUDA20/bitonicsort/kernel.cu,success,QF_S,1064
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,QF_S,959
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,QF_S,1037
24,CUDA20/scan/best/kernel.cu,success,QF_S,1112
25,CUDA20/scanlarge/inline/kernel.cu,failed,QF_S,2114
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,QF_S,962
27,CUDA20/scan/naive/kernel.cu,success,QF_S,1018
28,CUDA20/scan/workefficient/kernel.cu,success,QF_S,1190
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,QF_S,943
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_S,929
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,QF_S,892
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,QF_S,1044
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,success,QF_S,1002
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,QF_S,965
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,success,QF_S,990
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,QF_S,903
