file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,QF_SLIA,1234
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,QF_SLIA,1147
3,C++AMP/BinomialOptions/kernel.cu,success,QF_SLIA,2359
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,QF_SLIA,1318
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,QF_SLIA,1371
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,QF_SLIA,1304
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,QF_SLIA,1308
8,C++AMP/DxInterOp/kernel.cu,success,QF_SLIA,1220
9,C++AMP/HelloWorldCSharp/kernel.cu,success,QF_SLIA,1231
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,QF_SLIA,1210
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,QF_SLIA,1253
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,QF_SLIA,1378
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,QF_SLIA,1198
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,QF_SLIA,1131
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,QF_SLIA,1146
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,QF_SLIA,1068
17,C++AMP/OceanCS/kernel.cu,success,QF_SLIA,943
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,QF_SLIA,2113
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,QF_SLIA,2103
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,QF_SLIA,1034
21,CUDA20/bitonicsort/kernel.cu,success,QF_SLIA,1140
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,QF_SLIA,1077
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,QF_SLIA,1061
24,CUDA20/scan/best/kernel.cu,success,QF_SLIA,953
25,CUDA20/scanlarge/inline/kernel.cu,failed,QF_SLIA,2095
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,QF_SLIA,1029
27,CUDA20/scan/naive/kernel.cu,success,QF_SLIA,1093
28,CUDA20/scan/workefficient/kernel.cu,success,QF_SLIA,1102
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,QF_SLIA,1037
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_SLIA,978
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,QF_SLIA,960
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,QF_SLIA,955
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,success,QF_SLIA,999
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,QF_SLIA,936
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,success,QF_SLIA,996
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,QF_SLIA,996
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,success,QF_SLIA,901
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,success,QF_SLIA,1060
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,success,QF_SLIA,952
