file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,failed,QF_UF,1818
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,failed,QF_UF,1933
3,C++AMP/BinomialOptions/kernel.cu,failed,QF_UF,2580
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,failed,QF_UF,2004
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,failed,QF_UF,2011
6,C++AMP/Convolution/convolution_simple/kernel.cu,failed,QF_UF,1846
7,C++AMP/Convolution/convolution_tiling/kernel.cu,failed,QF_UF,2013
8,C++AMP/DxInterOp/kernel.cu,failed,QF_UF,1933
9,C++AMP/HelloWorldCSharp/kernel.cu,failed,QF_UF,1892
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,failed,QF_UF,1988
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,failed,QF_UF,1844
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,failed,QF_UF,1899
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,failed,QF_UF,1962
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,failed,QF_UF,2002
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,failed,QF_UF,1908
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,failed,QF_UF,2025
17,C++AMP/OceanCS/kernel.cu,failed,QF_UF,1952
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,QF_UF,1930
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,QF_UF,1993
20,C++AMP/TransitiveClosure/stage3/kernel.cu,failed,QF_UF,2016
21,CUDA20/bitonicsort/kernel.cu,failed,QF_UF,2266
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,failed,QF_UF,2012
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,failed,QF_UF,1886
24,CUDA20/scan/best/kernel.cu,failed,QF_UF,1837
25,CUDA20/scanlarge/inline/kernel.cu,failed,QF_UF,1849
26,CUDA20/scanlarge/uniformAdd/kernel.cu,failed,QF_UF,1876
27,CUDA20/scan/naive/kernel.cu,failed,QF_UF,1988
28,CUDA20/scan/workefficient/kernel.cu,failed,QF_UF,1983
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,failed,QF_UF,1922
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_UF,1140
31,CUDA50/0_Simple/cppIntegration/kernel.cu,failed,QF_UF,1959
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,failed,QF_UF,1852
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,failed,QF_UF,1928
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,QF_UF,841
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,failed,QF_UF,1837
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,failed,QF_UF,2049
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,failed,QF_UF,1710
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,failed,QF_UF,2023
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,failed,QF_UF,1857
40,CUDA50/0_Simple/simpleMultiCopy/simpleMultiCopy.cu,failed,QF_UF,1949
41,CUDA50/0_Simple/simpleMultiGPU/simpleMultiGPU.cu,failed,QF_UF,2100
42,CUDA50/0_Simple/simpleP2P/simpleP2P.cu,failed,QF_UF,2202
43,CUDA50/0_Simple/simplePitchLinearTexture/shiftArray.cu,failed,QF_UF,2117
44,CUDA50/0_Simple/simplePitchLinearTexture/shiftPitchLinear.cu,failed,QF_UF,1810
45,CUDA50/0_Simple/simpleSeparateCompilation/simpleSeparateCompilation.cu,failed,QF_UF,2699
