file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,QF_UFBV,971
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,QF_UFBV,1002
3,C++AMP/BinomialOptions/kernel.cu,success,QF_UFBV,1547
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,QF_UFBV,978
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,QF_UFBV,1075
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,QF_UFBV,979
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,QF_UFBV,1013
8,C++AMP/DxInterOp/kernel.cu,success,QF_UFBV,940
9,C++AMP/HelloWorldCSharp/kernel.cu,success,QF_UFBV,928
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,QF_UFBV,1013
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,QF_UFBV,1018
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,QF_UFBV,913
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,QF_UFBV,1118
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,QF_UFBV,955
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,QF_UFBV,983
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,QF_UFBV,1013
17,C++AMP/OceanCS/kernel.cu,success,QF_UFBV,944
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,QF_UFBV,1990
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,QF_UFBV,1999
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,QF_UFBV,996
21,CUDA20/bitonicsort/kernel.cu,success,QF_UFBV,1004
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,QF_UFBV,910
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,QF_UFBV,965
24,CUDA20/scan/best/kernel.cu,success,QF_UFBV,1057
25,CUDA20/scanlarge/inline/kernel.cu,failed,QF_UFBV,2054
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,QF_UFBV,1081
27,CUDA20/scan/naive/kernel.cu,success,QF_UFBV,1059
28,CUDA20/scan/workefficient/kernel.cu,success,QF_UFBV,1020
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,QF_UFBV,953
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_UFBV,1029
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,QF_UFBV,955
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,QF_UFBV,1036
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,success,QF_UFBV,1039
