file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,QF_UFIDL,990
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,QF_UFIDL,965
3,C++AMP/BinomialOptions/kernel.cu,success,QF_UFIDL,1940
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,QF_UFIDL,899
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,QF_UFIDL,987
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,QF_UFIDL,1026
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,QF_UFIDL,1064
8,C++AMP/DxInterOp/kernel.cu,success,QF_UFIDL,951
9,C++AMP/HelloWorldCSharp/kernel.cu,success,QF_UFIDL,1055
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,QF_UFIDL,1013
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,QF_UFIDL,1040
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,QF_UFIDL,1052
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,QF_UFIDL,958
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,QF_UFIDL,987
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,QF_UFIDL,1143
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,QF_UFIDL,1035
17,C++AMP/OceanCS/kernel.cu,success,QF_UFIDL,1056
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,QF_UFIDL,2207
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,QF_UFIDL,2076
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,QF_UFIDL,1136
21,CUDA20/bitonicsort/kernel.cu,success,QF_UFIDL,1061
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,QF_UFIDL,947
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,QF_UFIDL,997
24,CUDA20/scan/best/kernel.cu,success,QF_UFIDL,1073
25,CUDA20/scanlarge/inline/kernel.cu,failed,QF_UFIDL,2346
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,QF_UFIDL,1056
27,CUDA20/scan/naive/kernel.cu,success,QF_UFIDL,1146
28,CUDA20/scan/workefficient/kernel.cu,success,QF_UFIDL,1068
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,QF_UFIDL,1022
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,QF_UFIDL,1101
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,QF_UFIDL,980
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,QF_UFIDL,1020
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,success,QF_UFIDL,1145
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,QF_UFIDL,839
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,success,QF_UFIDL,1011
