file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,UFNIA,1007
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,UFNIA,994
3,C++AMP/BinomialOptions/kernel.cu,success,UFNIA,1497
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,UFNIA,1043
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,UFNIA,974
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,UFNIA,1082
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,UFNIA,906
8,C++AMP/DxInterOp/kernel.cu,success,UFNIA,1078
9,C++AMP/HelloWorldCSharp/kernel.cu,success,UFNIA,938
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,UFNIA,1045
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,UFNIA,938
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,UFNIA,1020
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,UFNIA,1151
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,UFNIA,968
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,UFNIA,1008
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,UFNIA,910
17,C++AMP/OceanCS/kernel.cu,success,UFNIA,991
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,UFNIA,2128
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,UFNIA,2036
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,UFNIA,1093
21,CUDA20/bitonicsort/kernel.cu,success,UFNIA,1097
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,UFNIA,1003
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,UFNIA,980
24,CUDA20/scan/best/kernel.cu,success,UFNIA,976
25,CUDA20/scanlarge/inline/kernel.cu,failed,UFNIA,2063
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,UFNIA,936
27,CUDA20/scan/naive/kernel.cu,success,UFNIA,1004
28,CUDA20/scan/workefficient/kernel.cu,success,UFNIA,984
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,UFNIA,954
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,UFNIA,964
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,UFNIA,966
