file no.,filename,status,logic,elapsed
1,C++AMP/3000.imgblur_grid_6662C876/imgblur_Beta/kernel.cu,success,HEURISTICS,2703
2,C++AMP/3000.imgblur_grid_6662C876/imgblur_grid/kernel.cu,success,HEURISTICS,2498
3,C++AMP/BinomialOptions/kernel.cu,success,HEURISTICS,3028
4,C++AMP/BitonicSort/bitonic_sort_kernel/kernel.cu,success,HEURISTICS,2981
5,C++AMP/BitonicSort/transpose_kernel/kernel.cu,success,HEURISTICS,2628
6,C++AMP/Convolution/convolution_simple/kernel.cu,success,HEURISTICS,2592
7,C++AMP/Convolution/convolution_tiling/kernel.cu,success,HEURISTICS,2580
8,C++AMP/DxInterOp/kernel.cu,success,HEURISTICS,2536
9,C++AMP/HelloWorldCSharp/kernel.cu,success,HEURISTICS,2650
10,C++AMP/Histogram/histo_merge_kernel/kernel.cu,success,HEURISTICS,2823
11,C++AMP/MatrixMultiplication/mxm_amp_simple/kernel.cu,success,HEURISTICS,2684
12,C++AMP/MatrixMultiplication/mxm_amp_tiled/kernel.cu,success,HEURISTICS,2847
13,C++AMP/MersenneTwister/box_muller_kernel/kernel.cu,success,HEURISTICS,4402
14,C++AMP/MersenneTwister/rand_MT_kernel/kernel.cu,success,HEURISTICS,2832
15,C++AMP/NBody_Simulation/simple_implementation/kernel.cu,success,HEURISTICS,3033
16,C++AMP/NBody_Simulation/tiling_implementation/kernel.cu,success,HEURISTICS,2759
17,C++AMP/OceanCS/kernel.cu,success,HEURISTICS,2729
18,C++AMP/TransitiveClosure/stage1/kernel.cu,failed,HEURISTICS,24917
19,C++AMP/TransitiveClosure/stage2/kernel.cu,failed,HEURISTICS,21995
20,C++AMP/TransitiveClosure/stage3/kernel.cu,success,HEURISTICS,2923
21,CUDA20/bitonicsort/kernel.cu,success,HEURISTICS,2745
22,CUDA20/histogram64/histogram64Kernel/kernel.cu,success,HEURISTICS,2533
23,CUDA20/histogram64/mergeHistogram64Kernel/kernel.cu,success,HEURISTICS,2634
24,CUDA20/scan/best/kernel.cu,success,HEURISTICS,2710
25,CUDA20/scanlarge/inline/kernel.cu,failed,HEURISTICS,22926
26,CUDA20/scanlarge/uniformAdd/kernel.cu,success,HEURISTICS,2746
27,CUDA20/scan/naive/kernel.cu,success,HEURISTICS,2482
28,CUDA20/scan/workefficient/kernel.cu,success,HEURISTICS,2787
29,CUDA50/0_Simple/asyncAPI/asyncAPI.cu,success,HEURISTICS,2234
30,CUDA50/0_Simple/cppIntegration/kernel2.cu,success,HEURISTICS,2659
31,CUDA50/0_Simple/cppIntegration/kernel.cu,success,HEURISTICS,2873
32,CUDA50/0_Simple/cudaOpenMP/cudaOpenMP.cu,success,HEURISTICS,2639
33,CUDA50/0_Simple/matrixMul/matrixMul.cu,success,HEURISTICS,2700
34,CUDA50/0_Simple/simpleAtomicIntrinsics/simpleAtomicIntrinsics.cu,success,HEURISTICS,2514
35,CUDA50/0_Simple/simpleCallback/simpleCallback.cu,success,HEURISTICS,3375
36,CUDA50/0_Simple/simpleCubemapTexture/simpleCubemapTexture.cu,success,HEURISTICS,2851
37,CUDA50/0_Simple/simpleIPC/simpleIPC.cu,success,HEURISTICS,2669
38,CUDA50/0_Simple/simpleLayeredTexture/simpleLayeredTexture.cu,success,HEURISTICS,2553
39,CUDA50/0_Simple/simpleMPI/simpleMPI.cu,success,HEURISTICS,2411
40,CUDA50/0_Simple/simpleMultiCopy/simpleMultiCopy.cu,success,HEURISTICS,2362
41,CUDA50/0_Simple/simpleMultiGPU/simpleMultiGPU.cu,success,HEURISTICS,2664
42,CUDA50/0_Simple/simpleP2P/simpleP2P.cu,success,HEURISTICS,2627
43,CUDA50/0_Simple/simplePitchLinearTexture/shiftArray.cu,success,HEURISTICS,2463
44,CUDA50/0_Simple/simplePitchLinearTexture/shiftPitchLinear.cu,success,HEURISTICS,2554
45,CUDA50/0_Simple/simpleSeparateCompilation/simpleSeparateCompilation.cu,success,HEURISTICS,2753
46,CUDA50/0_Simple/simpleStreams/simpleStreams.cu,success,HEURISTICS,2641
47,CUDA50/0_Simple/simpleTexture/simpleTexture.cu,success,HEURISTICS,2551
48,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAllKernel2.cu,success,HEURISTICS,3140
49,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel1.cu,success,HEURISTICS,2867
50,CUDA50/0_Simple/simpleVoteIntrinsics/VoteAnyKernel3.cu,success,HEURISTICS,2417
51,CUDA50/0_Simple/simpleZeroCopy/simpleZeroCopy.cu,success,HEURISTICS,2297
52,CUDA50/0_Simple/template_runtime/template_runtime.cu,success,HEURISTICS,3026
53,CUDA50/0_Simple/template/template.cu,success,HEURISTICS,4064
54,CUDA50/0_Simple/vectorAdd/vectorAdd.cu,success,HEURISTICS,2807
55,CUDA50/2_Graphics/bindlessTexture/bindlessTexture.cu,success,HEURISTICS,3365
56,CUDA50/2_Graphics/marchingCubes/classifyVoxel.cu,success,HEURISTICS,2780
57,CUDA50/2_Graphics/simpleGL/simpleGL.cu,success,HEURISTICS,2979
58,CUDA50/2_Graphics/simpleTexture3D/simpleTexture3D_kernel.cu,success,HEURISTICS,2945
59,CUDA50/2_Graphics/volumeFiltering/d_render_preint.cu,success,HEURISTICS,2627
60,CUDA50/2_Graphics/volumeFiltering/d_render_preint_off.cu,success,HEURISTICS,2925
61,CUDA50/2_Graphics/volumeFiltering/d_render_regular.cu,success,HEURISTICS,2968
62,CUDA50/2_Graphics/volumeRender/volumeRender.cu,success,HEURISTICS,2754
63,CUDA50/3_Imaging/bicubicTexture/d_renderBicubic.cu,success,HEURISTICS,2940
64,CUDA50/3_Imaging/bicubicTexture/d_renderCatRom.cu,success,HEURISTICS,3041
65,CUDA50/3_Imaging/bicubicTexture/d_render.cu,success,HEURISTICS,3055
66,CUDA50/3_Imaging/bicubicTexture/d_renderFastBicubic.cu,success,HEURISTICS,2876
67,CUDA50/3_Imaging/bilateralFilter/bilateralFilter.cu,success,HEURISTICS,2834
68,CUDA50/3_Imaging/boxFilter/d_boxfilter_rgba_x.cu,success,HEURISTICS,2476
69,CUDA50/3_Imaging/boxFilter/d_boxfilter_rgba_y.cu,success,HEURISTICS,2837
70,CUDA50/3_Imaging/boxFilter/d_boxfilter_x_global.cu,success,HEURISTICS,2568
71,CUDA50/3_Imaging/boxFilter/d_boxfilter_x_tex.cu,success,HEURISTICS,2364
72,CUDA50/3_Imaging/boxFilter/d_boxfilter_y_global.cu,success,HEURISTICS,2986
73,CUDA50/3_Imaging/boxFilter/d_boxfilter_y_tex.cu,success,HEURISTICS,2827
74,CUDA50/3_Imaging/convolutionFFT2D/modulateAndNormalize_kernel.cu,success,HEURISTICS,3958
75,CUDA50/3_Imaging/convolutionFFT2D/padDataClampToBorder_kernel.cu,success,HEURISTICS,2668
76,CUDA50/3_Imaging/convolutionFFT2D/padKernel_kernel.cu,success,HEURISTICS,2510
77,CUDA50/3_Imaging/convolutionFFT2D/spPostprocess2D_kernel.cu,failed,HEURISTICS,21549
78,CUDA50/3_Imaging/convolutionFFT2D/spPreprocess2D_kernel.cu,failed,HEURISTICS,22053
79,CUDA50/3_Imaging/convolutionFFT2D/spProcess2D_kernel.cu,failed,HEURISTICS,21889
80,CUDA50/3_Imaging/convolutionSeparable/convolutionColumnsKernel.cu,success,HEURISTICS,2753
81,CUDA50/3_Imaging/convolutionSeparable/convolutionRowsKernel.cu,success,HEURISTICS,2542
82,CUDA50/3_Imaging/convolutionTexture/convolutionColumnsKernel.cu,success,HEURISTICS,2683
83,CUDA50/3_Imaging/convolutionTexture/convolutionRowsKernel.cu,success,HEURISTICS,2687
84,CUDA50/3_Imaging/dct8x8/CUDAkernel1DCT.cu,success,HEURISTICS,2755
85,CUDA50/3_Imaging/dct8x8/CUDAkernel1IDCT.cu,success,HEURISTICS,2756
86,CUDA50/3_Imaging/dct8x8/CUDAkernel2DCT.cu,success,HEURISTICS,2605
87,CUDA50/3_Imaging/dct8x8/CUDAkernel2IDCT.cu,success,HEURISTICS,2760
88,CUDA50/3_Imaging/dct8x8/CUDAkernelQuantizationFloat.cu,success,HEURISTICS,2386
89,CUDA50/3_Imaging/dct8x8/CUDAkernelQuantizationShort.cu,success,HEURISTICS,2372
90,CUDA50/3_Imaging/dct8x8/CUDAkernelShortDCT.cu,success,HEURISTICS,2852
91,CUDA50/3_Imaging/dct8x8/CUDAkernelShortIDCT.cu,success,HEURISTICS,2513
92,CUDA50/3_Imaging/dwtHaar1D/dwtHaar1D.cu,success,HEURISTICS,3060
93,CUDA50/3_Imaging/dwtHaar1D/initValue.cu,success,HEURISTICS,2536
94,CUDA50/3_Imaging/histogram/histogram256.cu,success,HEURISTICS,2731
95,CUDA50/3_Imaging/histogram/histogram64.cu,success,HEURISTICS,2688
96,CUDA50/3_Imaging/histogram/mergeHistogram256Kernel.cu,success,HEURISTICS,2782
97,CUDA50/3_Imaging/histogram/mergeHistogram64Kernel.cu,success,HEURISTICS,2823
98,CUDA50/3_Imaging/HSOpticalFlow/addKernel.cu,success,HEURISTICS,2638
99,CUDA50/3_Imaging/HSOpticalFlow/derivativesKernel.cu,success,HEURISTICS,2839
100,CUDA50/3_Imaging/HSOpticalFlow/downscaleKernel.cu,success,HEURISTICS,2564
101,CUDA50/3_Imaging/HSOpticalFlow/solverKernel.cu,success,HEURISTICS,3016
102,CUDA50/3_Imaging/HSOpticalFlow/upscaleKernel.cu,success,HEURISTICS,2547
103,CUDA50/3_Imaging/HSOpticalFlow/warpingKernel.cu,success,HEURISTICS,2695
104,CUDA50/3_Imaging/imageDenoising/imageDenoising_copy_kernel.cu,success,HEURISTICS,2674
105,CUDA50/3_Imaging/imageDenoising/imageDenoising_knn_kernel.cu,success,HEURISTICS,2583
106,CUDA50/3_Imaging/imageDenoising/imageDenoising_nlm2_kernel.cu,success,HEURISTICS,2773
107,CUDA50/3_Imaging/imageDenoising/imageDenoising_nlm_kernel.cu,success,HEURISTICS,3262
108,CUDA50/3_Imaging/postProcessGL/postProcessGL.cu,success,HEURISTICS,3048
109,CUDA50/3_Imaging/recursiveGaussian/d_recursiveGaussian_rgba.cu,success,HEURISTICS,2714
110,CUDA50/3_Imaging/recursiveGaussian/d_simpleRecursive_rgba.cu,success,HEURISTICS,2560
111,CUDA50/3_Imaging/recursiveGaussian/d_transpose.cu,success,HEURISTICS,2940
112,CUDA50/3_Imaging/SobelFilter/SobelCopyImage.cu,success,HEURISTICS,2524
113,CUDA50/3_Imaging/SobelFilter/SobelShared.cu,success,HEURISTICS,2523
114,CUDA50/3_Imaging/SobelFilter/SobelTex.cu,success,HEURISTICS,2405
115,CUDA50/4_Finance/binomialOptions/binomialOptions.cu,success,HEURISTICS,3230
116,CUDA50/4_Finance/BlackScholes/BlackScholes.cu,success,HEURISTICS,2604
117,CUDA50/4_Finance/MonteCarloMultiGPU/MonteCarloOneBlockPerOption.cu,success,HEURISTICS,2360
118,CUDA50/4_Finance/MonteCarloMultiGPU/rngSetupStates.cu,success,HEURISTICS,2497
119,CUDA50/4_Finance/quasirandomGenerator/inverseCNDKernel.cu,success,HEURISTICS,2439
120,CUDA50/4_Finance/quasirandomGenerator/quasirandomGeneratorKernel.cu,success,HEURISTICS,2345
121,CUDA50/4_Finance/SobolQRNG/sobol.cu,success,HEURISTICS,2668
